 Tiempo,  AverEnergy,  AverEnergy^2,  C_v
           1 , -0.11341666666666667      ,   1.3608125000000000E-002 ,   4.6549045138888946E-003
           2 , -0.15841666666666668      ,   2.5968958333333337E-002 ,   5.4569878472222237E-003
           3 , -0.18224999999999997      ,   3.3931458333333324E-002 ,   4.4774739583333407E-003
           4 , -0.20424999999999999      ,   4.3191458333333328E-002 ,   9.2087239583333452E-003
           5 , -0.22125000000000000      ,   5.0265624999999994E-002 ,   8.2128906249999412E-003
           6 , -0.22850000000000001      ,   5.3505833333333336E-002 ,   8.0848958333333380E-003
           7 , -0.23416666666666669      ,   5.6192499999999999E-002 ,   8.4904513888888269E-003
           8 , -0.23316666666666669      ,   5.5265833333333333E-002 ,   5.6196180555554993E-003
           9 , -0.24541666666666667      ,   6.1661875000000005E-002 ,   8.9533420138889104E-003
          10 , -0.24133333333333329      ,   5.9530416666666662E-002 ,   8.0539930555556787E-003
          11 , -0.24608333333333332      ,   6.2247708333333311E-002 ,   1.0566883680555470E-002
          12 , -0.24816666666666665      ,   6.2542500000000001E-002 ,   5.9737847222222744E-003
          13 , -0.25391666666666668      ,   6.5588958333333350E-002 ,   6.9705295138889657E-003
          14 , -0.25091666666666668      ,   6.4705208333333333E-002 ,   1.0912717013888875E-002
          15 , -0.25600000000000001      ,   6.6561249999999988E-002 ,   6.4078124999999465E-003
          16 , -0.26425000000000004      ,   7.1247291666666657E-002 ,   8.8701822916664556E-003
          17 , -0.26691666666666669      ,   7.2491874999999997E-002 ,   7.7960503472221561E-003
          18 , -0.26000000000000001      ,   6.9102916666666667E-002 ,   9.3932291666666209E-003
          19 , -0.27200000000000002      ,   7.5596666666666673E-002 ,   1.0079166666666656E-002
          20 , -0.27258333333333329      ,   7.5167708333333319E-002 ,   5.4127170138889256E-003
          21 , -0.27533333333333326      ,   7.6764583333333331E-002 ,   5.9758680555558122E-003
          22 , -0.28133333333333327      ,   8.0415416666666670E-002 ,   7.9185763888891224E-003
          23 , -0.28116666666666662      ,   8.0345416666666641E-002 ,   8.0670138888888805E-003
          24 , -0.27299999999999996      ,   7.5165833333333334E-002 ,   3.9802083333334397E-003
          25 , -0.27308333333333329      ,   7.5310208333333323E-002 ,   4.5981336805556161E-003
          26 , -0.26916666666666667      ,   7.3871249999999986E-002 ,   8.8784722222221002E-003
          27 , -0.27766666666666673      ,   7.8171249999999998E-002 ,   6.7029513888886873E-003
          28 , -0.28566666666666674      ,   8.2577916666666668E-002 ,   6.0779513888886694E-003
          29 , -0.28508333333333330      ,   8.2273958333333341E-002 ,   6.2590711805557593E-003
          30 , -0.28499999999999998      ,   8.2310416666666678E-002 ,   6.7838541666667869E-003
          31 , -0.27924999999999994      ,   7.9573541666666650E-002 ,   9.9561197916668044E-003
          32 , -0.28325000000000000      ,   8.1334375000000000E-002 ,   6.8988281249999714E-003
          33 , -0.28675000000000000      ,   8.4012291666666655E-002 ,   1.1167057291666584E-002
          34 , -0.28925000000000006      ,   8.5113124999999998E-002 ,   9.0472656249997348E-003
          35 , -0.28891666666666677      ,   8.4660625000000003E-002 ,   7.4236545138885515E-003
          36 , -0.29316666666666669      ,   8.6469583333333336E-002 ,   3.2680555555554894E-003
          37 , -0.30175000000000002      ,   9.2161458333333321E-002 ,   6.9274739583331454E-003
          38 , -0.30024999999999996      ,   9.0994791666666658E-002 ,   5.2795572916667678E-003
          39 , -0.29574999999999996      ,   8.8934374999999982E-002 ,   9.1644531250000688E-003
          40 , -0.30083333333333329      ,   9.1745416666666635E-002 ,   7.7795138888888532E-003
          41 , -0.29416666666666669      ,   8.8099166666666673E-002 ,   9.7821180555555422E-003
          42 , -0.29025000000000006      ,   8.5251874999999991E-002 ,   6.2925781249997120E-003
          43 , -0.29199999999999998      ,   8.6285000000000014E-002 ,   6.3812500000001368E-003
          44 , -0.29691666666666666      ,   8.8710624999999987E-002 ,   3.4444878472221843E-003
          45 , -0.29041666666666660      ,   8.5493541666666673E-002 ,   7.1981336805558745E-003
          46 , -0.29624999999999996      ,   8.8923541666666647E-002 ,   7.2467447916666969E-003
          47 , -0.29600000000000010      ,   8.8753333333333281E-002 ,   7.1083333333326650E-003
          48 , -0.29541666666666672      ,   8.8694374999999992E-002 ,   8.8960503472219551E-003
          49 , -0.29158333333333331      ,   8.6436041666666658E-002 ,   8.8450086805556133E-003
          50 , -0.29541666666666672      ,   8.8946874999999995E-002 ,   1.0474175347221972E-002
          51 , -0.29525000000000001      ,   8.8413958333333348E-002 ,   7.7587239583333696E-003
          52 , -0.28983333333333328      ,   8.4604583333333344E-002 ,   3.7576388888891678E-003
          53 , -0.29675000000000007      ,   8.9169791666666637E-002 ,   6.9326822916662527E-003
          54 , -0.28983333333333333      ,   8.5430833333333345E-002 ,   8.9217013888889980E-003
          55 , -0.29558333333333331      ,   8.8714374999999970E-002 ,   8.4054253472221584E-003
          56 , -0.29283333333333333      ,   8.7397916666666658E-002 ,   1.0290972222222125E-002
          57 , -0.29575000000000007      ,   8.8833541666666654E-002 ,   8.5342447916663365E-003
          58 , -0.30275000000000002      ,   9.3262708333333305E-002 ,   1.0032161458333085E-002
          59 , -0.29533333333333345      ,   8.8457916666666636E-002 ,   7.7258680555549603E-003
          60 , -0.29499999999999993      ,   8.8219166666666682E-002 ,   7.4635416666669896E-003
          61 , -0.29691666666666661      ,   8.9577291666666656E-002 ,   8.8611545138890351E-003
          62 , -0.30050000000000004      ,   9.1785833333333317E-002 ,   9.2848958333330636E-003
          63 , -0.30291666666666667      ,   9.3077708333333342E-002 ,   8.2450086805556204E-003
          64 , -0.30199999999999994      ,   9.2320833333333338E-002 ,   6.9802083333335777E-003
          65 , -0.30099999999999993      ,   9.1510833333333333E-002 ,   5.6864583333335848E-003
          66 , -0.29166666666666669      ,   8.5987916666666678E-002 ,   5.7404513888888523E-003
          67 , -0.29158333333333336      ,   8.5580625000000007E-002 ,   3.4986545138888762E-003
          68 , -0.30100000000000005      ,   9.1468749999999974E-002 ,   5.4234374999996560E-003
          69 , -0.29358333333333331      ,   8.6989791666666663E-002 ,   4.9913628472222568E-003
          70 , -0.29541666666666672      ,   8.8160208333333351E-002 ,   5.5575086805554480E-003
          71 , -0.29350000000000009      ,   8.7010000000000018E-002 ,   5.4234374999997427E-003
          72 , -0.29958333333333331      ,   9.0411458333333319E-002 ,   4.1330295138889035E-003
          73 , -0.30441666666666667      ,   9.3647291666666674E-002 ,   6.1111545138888869E-003
          74 , -0.29975000000000013      ,   9.0596041666666668E-002 ,   4.6623697916661939E-003
          75 , -0.30124999999999991      ,   9.1813124999999995E-002 ,   6.6347656250003578E-003
          76 , -0.30124999999999991      ,   9.1884375000000004E-002 ,   7.0800781250004129E-003
          77 , -0.30500000000000005      ,   9.3792500000000001E-002 ,   4.7968749999998533E-003
          78 , -0.30975000000000003      ,   9.6919791666666658E-002 ,   6.0920572916665396E-003
          79 , -0.31200000000000000      ,   9.8875833333333329E-002 ,   9.5739583333333093E-003
          80 , -0.32333333333333325      ,  0.10591874999999999      ,   8.5894097222225484E-003
          81 , -0.31424999999999997      ,  0.10027812500000001      ,   9.5316406250001325E-003
          82 , -0.30941666666666662      ,   9.7181458333333332E-002 ,   9.0174045138891046E-003
