 Tiempo,InterPos,InterNeg,InterPN,InterZero,IdealR,MeasuredR, Rho
           1 ,                   55 ,                   55 ,                 1488 ,                    0 ,   638.30761718750000      ,   236.82255554199219      ,  0.37101633940305401     
           2 ,                   60 ,                   59 ,                 1480 ,                    0 ,   638.30761718750000      ,   235.54931640625000      ,  0.36902162854349652     
           3 ,                   66 ,                   61 ,                 1471 ,                    0 ,   638.30761718750000      ,   234.11691284179688      ,  0.36677756388582483     
           4 ,                   69 ,                   65 ,                 1464 ,                    0 ,   638.30761718750000      ,   233.00282287597656      ,  0.36503218291931028     
           5 ,                   72 ,                   69 ,                 1458 ,                    0 ,   638.30761718750000      ,   232.04789733886719      ,  0.36353615575090992     
           6 ,                   73 ,                   71 ,                 1455 ,                    0 ,   638.30761718750000      ,   231.57043457031250      ,  0.36278814216670974     
           7 ,                   73 ,                   71 ,                 1454 ,                    0 ,   638.30761718750000      ,   231.41128540039062      ,  0.36253881227366680     
           8 ,                   72 ,                   72 ,                 1454 ,                    0 ,   638.30761718750000      ,   231.41128540039062      ,  0.36253881227366680     
           9 ,                   75 ,                   74 ,                 1450 ,                    0 ,   638.30761718750000      ,   230.77465820312500      ,  0.36154144489135243     
          10 ,                   76 ,                   74 ,                 1449 ,                    0 ,   638.30761718750000      ,   230.61550903320312      ,  0.36129211499830949     
          11 ,                   77 ,                   76 ,                 1445 ,                    0 ,   638.30761718750000      ,   229.97888183593750      ,  0.36029474761599500     
          12 ,                   77 ,                   76 ,                 1446 ,                    0 ,   638.30761718750000      ,   230.13804626464844      ,  0.36054410141410931     
          13 ,                   77 ,                   75 ,                 1446 ,                    0 ,   638.30761718750000      ,   230.13804626464844      ,  0.36054410141410931     
          14 ,                   79 ,                   75 ,                 1445 ,                    0 ,   638.30761718750000      ,   229.97888183593750      ,  0.36029474761599500     
          15 ,                   79 ,                   76 ,                 1444 ,                    0 ,   638.30761718750000      ,   229.81973266601562      ,  0.36004541772295207     
          16 ,                   80 ,                   79 ,                 1439 ,                    0 ,   638.30761718750000      ,   229.02395629882812      ,  0.35879872044759475     
          17 ,                   80 ,                   79 ,                 1440 ,                    0 ,   638.30761718750000      ,   229.18310546875000      ,  0.35904805034063769     
          18 ,                   80 ,                   80 ,                 1439 ,                    0 ,   638.30761718750000      ,   229.02395629882812      ,  0.35879872044759475     
          19 ,                   81 ,                   82 ,                 1435 ,                    0 ,   638.30761718750000      ,   228.38734436035156      ,  0.35780137697035164     
          20 ,                   81 ,                   80 ,                 1437 ,                    0 ,   638.30761718750000      ,   228.70564270019531      ,  0.35830003675643751     
          21 ,                   83 ,                   80 ,                 1436 ,                    0 ,   638.30761718750000      ,   228.54649353027344      ,  0.35805070686339457     
          22 ,                   84 ,                   81 ,                 1434 ,                    0 ,   638.30761718750000      ,   228.22817993164062      ,  0.35755202317223733     
          23 ,                   85 ,                   83 ,                 1431 ,                    0 ,   638.30761718750000      ,   227.75071716308594      ,  0.35680400958803726     
