 Tiempo,InterPos2,InterNeg2,InterPN2,InterZero,InterPN,InterNZ
           1 ,                 1701 ,                 1680 ,                 3018 ,                    0 ,                    0 ,                    0
           2 ,                 1737 ,                 1716 ,                 2946 ,                    0 ,                    0 ,                    0
           3 ,                 1756 ,                 1735 ,                 2908 ,                    0 ,                    0 ,                    0
           4 ,                 1774 ,                 1752 ,                 2873 ,                    0 ,                    0 ,                    0
           5 ,                 1787 ,                 1766 ,                 2846 ,                    0 ,                    0 ,                    0
           6 ,                 1793 ,                 1772 ,                 2834 ,                    0 ,                    0 ,                    0
           7 ,                 1798 ,                 1776 ,                 2825 ,                    0 ,                    0 ,                    0
           8 ,                 1797 ,                 1775 ,                 2826 ,                    0 ,                    0 ,                    0
           9 ,                 1807 ,                 1785 ,                 2807 ,                    0 ,                    0 ,                    0
          10 ,                 1803 ,                 1782 ,                 2813 ,                    0 ,                    0 ,                    0
          11 ,                 1807 ,                 1786 ,                 2806 ,                    0 ,                    0 ,                    0
          12 ,                 1809 ,                 1787 ,                 2802 ,                    0 ,                    0 ,                    0
          13 ,                 1813 ,                 1792 ,                 2793 ,                    0 ,                    0 ,                    0
          14 ,                 1811 ,                 1790 ,                 2798 ,                    0 ,                    0 ,                    0
          15 ,                 1815 ,                 1794 ,                 2790 ,                    0 ,                    0 ,                    0
          16 ,                 1822 ,                 1800 ,                 2777 ,                    0 ,                    0 ,                    0
          17 ,                 1824 ,                 1802 ,                 2772 ,                    0 ,                    0 ,                    0
          18 ,                 1818 ,                 1797 ,                 2784 ,                    0 ,                    0 ,                    0
          19 ,                 1828 ,                 1806 ,                 2764 ,                    0 ,                    0 ,                    0
          20 ,                 1828 ,                 1807 ,                 2763 ,                    0 ,                    0 ,                    0
          21 ,                 1830 ,                 1809 ,                 2759 ,                    0 ,                    0 ,                    0
          22 ,                 1835 ,                 1814 ,                 2749 ,                    0 ,                    0 ,                    0
          23 ,                 1835 ,                 1814 ,                 2750 ,                    0 ,                    0 ,                    0
          24 ,                 1829 ,                 1807 ,                 2763 ,                    0 ,                    0 ,                    0
          25 ,                 1829 ,                 1807 ,                 2763 ,                    0 ,                    0 ,                    0
          26 ,                 1826 ,                 1804 ,                 2769 ,                    0 ,                    0 ,                    0
          27 ,                 1832 ,                 1811 ,                 2755 ,                    0 ,                    0 ,                    0
          28 ,                 1839 ,                 1817 ,                 2742 ,                    0 ,                    0 ,                    0
          29 ,                 1838 ,                 1817 ,                 2743 ,                    0 ,                    0 ,                    0
          30 ,                 1838 ,                 1817 ,                 2744 ,                    0 ,                    0 ,                    0
          31 ,                 1834 ,                 1812 ,                 2753 ,                    0 ,                    0 ,                    0
          32 ,                 1837 ,                 1815 ,                 2746 ,                    0 ,                    0 ,                    0
          33 ,                 1840 ,                 1818 ,                 2741 ,                    0 ,                    0 ,                    0
          34 ,                 1842 ,                 1820 ,                 2737 ,                    0 ,                    0 ,                    0
          35 ,                 1841 ,                 1820 ,                 2737 ,                    0 ,                    0 ,                    0
          36 ,                 1845 ,                 1823 ,                 2730 ,                    0 ,                    0 ,                    0
          37 ,                 1852 ,                 1830 ,                 2717 ,                    0 ,                    0 ,                    0
          38 ,                 1850 ,                 1829 ,                 2719 ,                    0 ,                    0 ,                    0
          39 ,                 1847 ,                 1825 ,                 2726 ,                    0 ,                    0 ,                    0
          40 ,                 1851 ,                 1830 ,                 2718 ,                    0 ,                    0 ,                    0
          41 ,                 1846 ,                 1824 ,                 2729 ,                    0 ,                    0 ,                    0
          42 ,                 1842 ,                 1821 ,                 2735 ,                    0 ,                    0 ,                    0
          43 ,                 1844 ,                 1822 ,                 2732 ,                    0 ,                    0 ,                    0
          44 ,                 1848 ,                 1826 ,                 2724 ,                    0 ,                    0 ,                    0
          45 ,                 1843 ,                 1821 ,                 2735 ,                    0 ,                    0 ,                    0
          46 ,                 1847 ,                 1826 ,                 2726 ,                    0 ,                    0 ,                    0
          47 ,                 1847 ,                 1826 ,                 2726 ,                    0 ,                    0 ,                    0
          48 ,                 1847 ,                 1825 ,                 2727 ,                    0 ,                    0 ,                    0
          49 ,                 1843 ,                 1822 ,                 2733 ,                    0 ,                    0 ,                    0
          50 ,                 1847 ,                 1825 ,                 2727 ,                    0 ,                    0 ,                    0
          51 ,                 1846 ,                 1825 ,                 2727 ,                    0 ,                    0 ,                    0
          52 ,                 1842 ,                 1821 ,                 2736 ,                    0 ,                    0 ,                    0
          53 ,                 1848 ,                 1826 ,                 2725 ,                    0 ,                    0 ,                    0
          54 ,                 1842 ,                 1821 ,                 2736 ,                    0 ,                    0 ,                    0
          55 ,                 1847 ,                 1825 ,                 2727 ,                    0 ,                    0 ,                    0
          56 ,                 1844 ,                 1823 ,                 2731 ,                    0 ,                    0 ,                    0
          57 ,                 1847 ,                 1825 ,                 2726 ,                    0 ,                    0 ,                    0
          58 ,                 1852 ,                 1831 ,                 2715 ,                    0 ,                    0 ,                    0
          59 ,                 1846 ,                 1825 ,                 2727 ,                    0 ,                    0 ,                    0
          60 ,                 1846 ,                 1825 ,                 2728 ,                    0 ,                    0 ,                    0
          61 ,                 1848 ,                 1826 ,                 2724 ,                    0 ,                    0 ,                    0
          62 ,                 1851 ,                 1829 ,                 2719 ,                    0 ,                    0 ,                    0
          63 ,                 1853 ,                 1831 ,                 2715 ,                    0 ,                    0 ,                    0
          64 ,                 1852 ,                 1830 ,                 2716 ,                    0 ,                    0 ,                    0
          65 ,                 1851 ,                 1830 ,                 2718 ,                    0 ,                    0 ,                    0
          66 ,                 1844 ,                 1822 ,                 2733 ,                    0 ,                    0 ,                    0
          67 ,                 1843 ,                 1822 ,                 2733 ,                    0 ,                    0 ,                    0
          68 ,                 1851 ,                 1830 ,                 2718 ,                    0 ,                    0 ,                    0
          69 ,                 1845 ,                 1824 ,                 2730 ,                    0 ,                    0 ,                    0
          70 ,                 1847 ,                 1825 ,                 2727 ,                    0 ,                    0 ,                    0
          71 ,                 1845 ,                 1824 ,                 2730 ,                    0 ,                    0 ,                    0
          72 ,                 1850 ,                 1829 ,                 2720 ,                    0 ,                    0 ,                    0
          73 ,                 1854 ,                 1832 ,                 2712 ,                    0 ,                    0 ,                    0
          74 ,                 1850 ,                 1829 ,                 2720 ,                    0 ,                    0 ,                    0
          75 ,                 1851 ,                 1830 ,                 2718 ,                    0 ,                    0 ,                    0
          76 ,                 1851 ,                 1830 ,                 2718 ,                    0 ,                    0 ,                    0
          77 ,                 1854 ,                 1833 ,                 2712 ,                    0 ,                    0 ,                    0
          78 ,                 1858 ,                 1837 ,                 2704 ,                    0 ,                    0 ,                    0
          79 ,                 1860 ,                 1838 ,                 2700 ,                    0 ,                    0 ,                    0
          80 ,                 1869 ,                 1848 ,                 2682 ,                    0 ,                    0 ,                    0
          81 ,                 1862 ,                 1840 ,                 2697 ,                    0 ,                    0 ,                    0
          82 ,                 1858 ,                 1836 ,                 2704 ,                    0 ,                    0 ,                    0
          83 ,                 1856 ,                 1835 ,                 2708 ,                    0 ,                    0 ,                    0
          84 ,                 1860 ,                 1838 ,                 2701 ,                    0 ,                    0 ,                    0
          85 ,                 1862 ,                 1840 ,                 2697 ,                    0 ,                    0 ,                    0
          86 ,                 1870 ,                 1849 ,                 2679 ,                    0 ,                    0 ,                    0
          87 ,                 1861 ,                 1840 ,                 2698 ,                    0 ,                    0 ,                    0
          88 ,                 1859 ,                 1837 ,                 2703 ,                    0 ,                    0 ,                    0
          89 ,                 1863 ,                 1842 ,                 2693 ,                    0 ,                    0 ,                    0
          90 ,                 1854 ,                 1833 ,                 2712 ,                    0 ,                    0 ,                    0
          91 ,                 1851 ,                 1830 ,                 2718 ,                    0 ,                    0 ,                    0
          92 ,                 1846 ,                 1825 ,                 2728 ,                    0 ,                    0 ,                    0
          93 ,                 1847 ,                 1826 ,                 2726 ,                    0 ,                    0 ,                    0
          94 ,                 1851 ,                 1829 ,                 2719 ,                    0 ,                    0 ,                    0
          95 ,                 1846 ,                 1824 ,                 2729 ,                    0 ,                    0 ,                    0
          96 ,                 1847 ,                 1826 ,                 2726 ,                    0 ,                    0 ,                    0
          97 ,                 1844 ,                 1823 ,                 2731 ,                    0 ,                    0 ,                    0
          98 ,                 1848 ,                 1827 ,                 2724 ,                    0 ,                    0 ,                    0
          99 ,                 1852 ,                 1831 ,                 2715 ,                    0 ,                    0 ,                    0
         100 ,                 1850 ,                 1828 ,                 2721 ,                    0 ,                    0 ,                    0
         101 ,                 1858 ,                 1837 ,                 2704 ,                    0 ,                    0 ,                    0
         102 ,                 1861 ,                 1839 ,                 2699 ,                    0 ,                    0 ,                    0
         103 ,                 1860 ,                 1839 ,                 2700 ,                    0 ,                    0 ,                    0
         104 ,                 1860 ,                 1838 ,                 2701 ,                    0 ,                    0 ,                    0
         105 ,                 1855 ,                 1834 ,                 2710 ,                    0 ,                    0 ,                    0
         106 ,                 1860 ,                 1839 ,                 2700 ,                    0 ,                    0 ,                    0
         107 ,                 1859 ,                 1838 ,                 2702 ,                    0 ,                    0 ,                    0
         108 ,                 1861 ,                 1840 ,                 2697 ,                    0 ,                    0 ,                    0
         109 ,                 1860 ,                 1838 ,                 2700 ,                    0 ,                    0 ,                    0
         110 ,                 1856 ,                 1835 ,                 2707 ,                    0 ,                    0 ,                    0
         111 ,                 1872 ,                 1850 ,                 2677 ,                    0 ,                    0 ,                    0
         112 ,                 1870 ,                 1849 ,                 2679 ,                    0 ,                    0 ,                    0
         113 ,                 1863 ,                 1842 ,                 2694 ,                    0 ,                    0 ,                    0
         114 ,                 1859 ,                 1838 ,                 2702 ,                    0 ,                    0 ,                    0
         115 ,                 1853 ,                 1832 ,                 2713 ,                    0 ,                    0 ,                    0
         116 ,                 1859 ,                 1837 ,                 2702 ,                    0 ,                    0 ,                    0
         117 ,                 1854 ,                 1832 ,                 2713 ,                    0 ,                    0 ,                    0
         118 ,                 1857 ,                 1836 ,                 2705 ,                    0 ,                    0 ,                    0
         119 ,                 1866 ,                 1845 ,                 2687 ,                    0 ,                    0 ,                    0
         120 ,                 1865 ,                 1843 ,                 2691 ,                    0 ,                    0 ,                    0
         121 ,                 1862 ,                 1841 ,                 2696 ,                    0 ,                    0 ,                    0
         122 ,                 1857 ,                 1835 ,                 2707 ,                    0 ,                    0 ,                    0
         123 ,                 1851 ,                 1830 ,                 2718 ,                    0 ,                    0 ,                    0
         124 ,                 1856 ,                 1835 ,                 2708 ,                    0 ,                    0 ,                    0
         125 ,                 1850 ,                 1828 ,                 2721 ,                    0 ,                    0 ,                    0
         126 ,                 1848 ,                 1826 ,                 2724 ,                    0 ,                    0 ,                    0
         127 ,                 1852 ,                 1831 ,                 2716 ,                    0 ,                    0 ,                    0
         128 ,                 1848 ,                 1827 ,                 2723 ,                    0 ,                    0 ,                    0
         129 ,                 1854 ,                 1833 ,                 2711 ,                    0 ,                    0 ,                    0
         130 ,                 1852 ,                 1831 ,                 2716 ,                    0 ,                    0 ,                    0
         131 ,                 1847 ,                 1825 ,                 2727 ,                    0 ,                    0 ,                    0
         132 ,                 1842 ,                 1820 ,                 2737 ,                    0 ,                    0 ,                    0
         133 ,                 1844 ,                 1823 ,                 2732 ,                    0 ,                    0 ,                    0
         134 ,                 1853 ,                 1832 ,                 2713 ,                    0 ,                    0 ,                    0
         135 ,                 1853 ,                 1832 ,                 2714 ,                    0 ,                    0 ,                    0
         136 ,                 1844 ,                 1823 ,                 2732 ,                    0 ,                    0 ,                    0
         137 ,                 1845 ,                 1823 ,                 2730 ,                    0 ,                    0 ,                    0
         138 ,                 1850 ,                 1829 ,                 2719 ,                    0 ,                    0 ,                    0
         139 ,                 1849 ,                 1827 ,                 2723 ,                    0 ,                    0 ,                    0
         140 ,                 1838 ,                 1817 ,                 2743 ,                    0 ,                    0 ,                    0
         141 ,                 1844 ,                 1823 ,                 2732 ,                    0 ,                    0 ,                    0
         142 ,                 1849 ,                 1828 ,                 2721 ,                    0 ,                    0 ,                    0
         143 ,                 1857 ,                 1836 ,                 2706 ,                    0 ,                    0 ,                    0
         144 ,                 1852 ,                 1831 ,                 2715 ,                    0 ,                    0 ,                    0
         145 ,                 1852 ,                 1831 ,                 2716 ,                    0 ,                    0 ,                    0
         146 ,                 1864 ,                 1842 ,                 2693 ,                    0 ,                    0 ,                    0
         147 ,                 1856 ,                 1835 ,                 2707 ,                    0 ,                    0 ,                    0
         148 ,                 1857 ,                 1835 ,                 2707 ,                    0 ,                    0 ,                    0
         149 ,                 1857 ,                 1836 ,                 2706 ,                    0 ,                    0 ,                    0
         150 ,                 1856 ,                 1834 ,                 2708 ,                    0 ,                    0 ,                    0
         151 ,                 1858 ,                 1836 ,                 2704 ,                    0 ,                    0 ,                    0
