 Tiempo,AverMagnetization,AverMagnetization^2,Suceptibility,Cumulant
           1 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
           2 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
           3 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
           4 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
           5 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
           6 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
           7 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
           8 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
           9 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          10 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          11 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          12 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          13 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          14 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          15 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          16 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          17 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          18 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          19 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          20 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          21 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          22 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          23 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          24 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          25 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          26 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          27 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          28 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          29 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          30 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          31 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          32 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          33 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          34 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          35 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          36 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          37 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          38 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          39 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          40 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          41 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          42 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          43 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          44 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          45 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          46 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          47 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          48 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          49 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          50 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          51 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          52 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          53 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          54 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          55 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          56 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          57 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          58 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          59 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          60 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          61 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          62 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          63 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          64 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          65 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          66 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          67 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          68 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          69 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          70 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          71 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          72 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          73 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          74 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          75 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          76 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          77 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          78 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          79 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          80 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          81 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          82 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          83 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          84 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          85 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          86 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          87 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          88 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          89 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          90 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          91 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          92 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          93 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          94 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          95 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          96 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          97 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          98 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
          99 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
         100 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
         101 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
         102 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
         103 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
         104 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
         105 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
         106 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
         107 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
         108 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
         109 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
         110 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
         111 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
         112 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
         113 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
         114 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
         115 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
         116 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
         117 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
         118 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
         119 ,   3.3333334295699993E-003 ,   5.5083333812343596E-004 ,   1.3493055659268677E-003 , -0.15281999961206827     
