 Tiempo,  AverEnergy,  AverEnergy^2,  C_v
           1 , -0.11741666666666666      ,   1.4755208333333330E-002 ,   1.1957219747892674E-003
           2 , -0.16716666666666666      ,   2.8950000000000000E-002 ,   1.2411180689500467E-003
           3 , -0.17625000000000002      ,   3.2054375000000003E-002 ,   1.2226081223413305E-003
           4 , -0.19783333333333328      ,   4.0419166666666666E-002 ,   1.5816530755725408E-003
           5 , -0.21224999999999999      ,   4.6426874999999999E-002 ,   1.6997686542794168E-003
           6 , -0.21658333333333335      ,   4.8108541666666657E-002 ,   1.4817302280854621E-003
           7 , -0.23674999999999999      ,   5.7041041666666667E-002 ,   1.2228138836746529E-003
           8 , -0.23491666666666663      ,   5.6506041666666666E-002 ,   1.6298783880662727E-003
           9 , -0.23700000000000002      ,   5.7351249999999993E-002 ,   1.4595680178105608E-003
          10 , -0.23958333333333334      ,   5.8669375000000003E-002 ,   1.5669154200744237E-003
          11 , -0.24108333333333337      ,   5.9229791666666663E-002 ,   1.3686643754334611E-003
          12 , -0.24816666666666662      ,   6.3279166666666664E-002 ,   2.0894720461733045E-003
          13 , -0.25074999999999997      ,   6.4274791666666650E-002 ,   1.7274435536091548E-003
          14 , -0.25216666666666665      ,   6.5283749999999988E-002 ,   2.0934843921727618E-003
          15 , -0.25908333333333333      ,   6.8056458333333333E-002 ,   1.1509688847950712E-003
          16 , -0.26950000000000002      ,   7.3715416666666672E-002 ,   1.3397120411594687E-003
          17 , -0.26991666666666669      ,   7.4110625000000013E-002 ,   1.5501458714099450E-003
          18 , -0.26866666666666661      ,   7.3364583333333316E-002 ,   1.4602538889216218E-003
          19 , -0.27333333333333337      ,   7.5669166666666690E-002 ,   1.1827847309576185E-003
          20 , -0.26599999999999996      ,   7.2130000000000000E-002 ,   1.6962964317798960E-003
          21 , -0.26516666666666672      ,   7.1392083333333314E-002 ,   1.3317559362715566E-003
          22 , -0.27325000000000005      ,   7.5926458333333322E-002 ,   1.5566616469645949E-003
          23 , -0.27416666666666661      ,   7.6836666666666678E-002 ,   2.0608712208437111E-003
          24 , -0.27524999999999999      ,   7.7215624999999996E-002 ,   1.7939044642672000E-003
          25 , -0.27666666666666662      ,   7.7918333333333339E-002 ,   1.6961592575577009E-003
          26 , -0.26724999999999999      ,   7.2955624999999982E-002 ,   1.8926699042543615E-003
          27 , -0.27283333333333337      ,   7.6372083333333299E-002 ,   2.3877230988011665E-003
          28 , -0.27641666666666670      ,   7.7417291666666666E-002 ,   1.2482939954490905E-003
          29 , -0.27516666666666662      ,   7.6960833333333353E-002 ,   1.5359740595785089E-003
          30 , -0.27266666666666661      ,   7.5681249999999992E-002 ,   1.6470851795640463E-003
          31 , -0.28199999999999997      ,   8.0960000000000004E-002 ,   1.7728396477699534E-003
          32 , -0.28266666666666668      ,   8.1294583333333323E-002 ,   1.7211592595543874E-003
          33 , -0.28208333333333330      ,   8.1145208333333343E-002 ,   1.9434586600255998E-003
          34 , -0.27916666666666667      ,   7.8857083333333342E-002 ,   1.1395748509632343E-003
          35 , -0.27850000000000003      ,   7.8787083333333313E-002 ,   1.5121400384703861E-003
          36 , -0.28816666666666663      ,   8.4223750000000000E-002 ,   1.4613855762548120E-003
          37 , -0.28758333333333330      ,   8.3998124999999993E-002 ,   1.5974709780704718E-003
          38 , -0.28766666666666668      ,   8.3455000000000015E-002 ,   8.6776412966516644E-004
          39 , -0.29099999999999998      ,   8.5651249999999984E-002 ,   1.1978396018445393E-003
          40 , -0.28966666666666663      ,   8.5824999999999999E-002 ,   2.3681757721371313E-003
          41 , -0.28749999999999998      ,   8.4109166666666652E-002 ,   1.7937244231005487E-003
          42 , -0.29149999999999998      ,   8.6906249999999990E-002 ,   2.3876545116901463E-003
          43 , -0.28599999999999992      ,   8.3877083333333310E-002 ,   2.5692388883332721E-003
          44 , -0.28533333333333333      ,   8.3000416666666660E-002 ,   1.9571675088571171E-003
          45 , -0.29100000000000004      ,   8.6424583333333319E-002 ,   2.1525721883872712E-003
          46 , -0.29616666666666658      ,   8.8984583333333339E-002 ,   1.5677641855743893E-003
          47 , -0.28925000000000006      ,   8.4787291666666667E-002 ,   1.3848509336535637E-003
          48 , -0.29224999999999995      ,   8.6635208333333324E-002 ,   1.5125258409704071E-003
          49 , -0.28966666666666657      ,   8.5668333333333319E-002 ,   2.1747601188289336E-003
          50 , -0.28708333333333330      ,   8.4359791666666670E-002 ,   2.3987056099665041E-003
          51 , -0.28858333333333330      ,   8.5072291666666647E-002 ,   2.2122858419906816E-003
          52 , -0.29599999999999999      ,   8.8989999999999986E-002 ,   1.6962964317798618E-003
          53 , -0.29375000000000001      ,   8.8191874999999989E-002 ,   2.3491514221951064E-003
          54 , -0.29383333333333339      ,   8.8516666666666660E-002 ,   2.6896778554286716E-003
          55 , -0.28566666666666668      ,   8.4366666666666673E-002 ,   3.4089165960020469E-003
          56 , -0.29416666666666658      ,   8.8388750000000030E-002 ,   2.2897807041473810E-003
          57 , -0.29958333333333331      ,   9.1366041666666661E-002 ,   1.9948989933522348E-003
          58 , -0.28983333333333333      ,   8.5587083333333341E-002 ,   1.9552127761907224E-003
          59 , -0.30275000000000013      ,   9.3486458333333328E-002 ,   2.2578962708735390E-003
          60 , -0.29966666666666675      ,   9.1315000000000007E-002 ,   1.8702333455350103E-003
          61 , -0.30333333333333334      ,   9.4049166666666670E-002 ,   2.5161181707845808E-003
          62 , -0.29041666666666666      ,   8.5779791666666660E-002 ,   1.7752487700473897E-003
