 Tiempo,InterPos,InterNeg,InterPN,InterZero,IdealR,MeasuredR, Rho
           1 ,                   56 ,                   54 ,                 1488 ,                    0 ,   638.30761718750000      ,   236.82255554199219      ,  0.37101633940305401     
           2 ,                   62 ,                   60 ,                 1477 ,                    0 ,   638.30761718750000      ,   235.07183837890625      ,  0.36827359105422508     
           3 ,                   64 ,                   63 ,                 1472 ,                    0 ,   638.30761718750000      ,   234.27607727050781      ,  0.36702691768393902     
           4 ,                   68 ,                   65 ,                 1466 ,                    0 ,   638.30761718750000      ,   233.32113647460938      ,  0.36553086661046741     
           5 ,                   72 ,                   69 ,                 1458 ,                    0 ,   638.30761718750000      ,   232.04789733886719      ,  0.36353615575090992     
           6 ,                   73 ,                   69 ,                 1457 ,                    0 ,   638.30761718750000      ,   231.88874816894531      ,  0.36328682585786698     
           7 ,                   74 ,                   72 ,                 1453 ,                    0 ,   638.30761718750000      ,   231.25212097167969      ,  0.36228945847555261     
           8 ,                   74 ,                   71 ,                 1454 ,                    0 ,   638.30761718750000      ,   231.41128540039062      ,  0.36253881227366680     
           9 ,                   75 ,                   73 ,                 1450 ,                    0 ,   638.30761718750000      ,   230.77465820312500      ,  0.36154144489135243     
          10 ,                   75 ,                   74 ,                 1450 ,                    0 ,   638.30761718750000      ,   230.77465820312500      ,  0.36154144489135243     
          11 ,                   74 ,                   77 ,                 1448 ,                    0 ,   638.30761718750000      ,   230.45634460449219      ,  0.36104276120019518     
          12 ,                   73 ,                   76 ,                 1449 ,                    0 ,   638.30761718750000      ,   230.61550903320312      ,  0.36129211499830949     
          13 ,                   75 ,                   77 ,                 1446 ,                    0 ,   638.30761718750000      ,   230.13804626464844      ,  0.36054410141410931     
          14 ,                   77 ,                   77 ,                 1445 ,                    0 ,   638.30761718750000      ,   229.97888183593750      ,  0.36029474761599500     
          15 ,                   79 ,                   79 ,                 1441 ,                    0 ,   638.30761718750000      ,   229.34226989746094      ,  0.35929740413875189     
          16 ,                   81 ,                   79 ,                 1439 ,                    0 ,   638.30761718750000      ,   229.02395629882812      ,  0.35879872044759475     
          17 ,                   81 ,                   78 ,                 1440 ,                    0 ,   638.30761718750000      ,   229.18310546875000      ,  0.35904805034063769     
          18 ,                   82 ,                   80 ,                 1436 ,                    0 ,   638.30761718750000      ,   228.54649353027344      ,  0.35805070686339457     
          19 ,                   80 ,                   82 ,                 1437 ,                    0 ,   638.30761718750000      ,   228.70564270019531      ,  0.35830003675643751     
          20 ,                   83 ,                   81 ,                 1435 ,                    0 ,   638.30761718750000      ,   228.38734436035156      ,  0.35780137697035164     
          21 ,                   84 ,                   80 ,                 1435 ,                    0 ,   638.30761718750000      ,   228.38734436035156      ,  0.35780137697035164     
          22 ,                   85 ,                   81 ,                 1433 ,                    0 ,   638.30761718750000      ,   228.06903076171875      ,  0.35730269327919439     
          23 ,                   83 ,                   81 ,                 1434 ,                    0 ,   638.30761718750000      ,   228.22817993164062      ,  0.35755202317223733     
          24 ,                   85 ,                   83 ,                 1430 ,                    0 ,   638.30761718750000      ,   227.59156799316406      ,  0.35655467969499421     
          25 ,                   85 ,                   82 ,                 1431 ,                    0 ,   638.30761718750000      ,   227.75071716308594      ,  0.35680400958803726     
          26 ,                   83 ,                   82 ,                 1433 ,                    0 ,   638.30761718750000      ,   228.06903076171875      ,  0.35730269327919439     
          27 ,                   85 ,                   83 ,                 1430 ,                    0 ,   638.30761718750000      ,   227.59156799316406      ,  0.35655467969499421     
          28 ,                   85 ,                   83 ,                 1430 ,                    0 ,   638.30761718750000      ,   227.59156799316406      ,  0.35655467969499421     
          29 ,                   84 ,                   82 ,                 1432 ,                    0 ,   638.30761718750000      ,   227.90986633300781      ,  0.35705333948108020     
          30 ,                   85 ,                   82 ,                 1432 ,                    0 ,   638.30761718750000      ,   227.90986633300781      ,  0.35705333948108020     
          31 ,                   86 ,                   84 ,                 1428 ,                    0 ,   638.30761718750000      ,   227.27325439453125      ,  0.35605599600383708     
          32 ,                   84 ,                   84 ,                 1430 ,                    0 ,   638.30761718750000      ,   227.59156799316406      ,  0.35655467969499421     
          33 ,                   85 ,                   86 ,                 1428 ,                    0 ,   638.30761718750000      ,   227.27325439453125      ,  0.35605599600383708     
          34 ,                   87 ,                   83 ,                 1429 ,                    0 ,   638.30761718750000      ,   227.43240356445312      ,  0.35630532589688002     
          35 ,                   85 ,                   82 ,                 1431 ,                    0 ,   638.30761718750000      ,   227.75071716308594      ,  0.35680400958803726     
          36 ,                   85 ,                   86 ,                 1428 ,                    0 ,   638.30761718750000      ,   227.27325439453125      ,  0.35605599600383708     
          37 ,                   85 ,                   86 ,                 1428 ,                    0 ,   638.30761718750000      ,   227.27325439453125      ,  0.35605599600383708     
          38 ,                   88 ,                   86 ,                 1424 ,                    0 ,   638.30761718750000      ,   226.63662719726562      ,  0.35505862862152271     
          39 ,                   87 ,                   87 ,                 1425 ,                    0 ,   638.30761718750000      ,   226.79579162597656      ,  0.35530798241963690     
          40 ,                   87 ,                   87 ,                 1425 ,                    0 ,   638.30761718750000      ,   226.79579162597656      ,  0.35530798241963690     
          41 ,                   88 ,                   86 ,                 1425 ,                    0 ,   638.30761718750000      ,   226.79579162597656      ,  0.35530798241963690     
          42 ,                   88 ,                   87 ,                 1424 ,                    0 ,   638.30761718750000      ,   226.63662719726562      ,  0.35505862862152271     
          43 ,                   88 ,                   84 ,                 1426 ,                    0 ,   638.30761718750000      ,   226.95494079589844      ,  0.35555731231267984     
          44 ,                   87 ,                   84 ,                 1428 ,                    0 ,   638.30761718750000      ,   227.27325439453125      ,  0.35605599600383708     
