 Tiempo,InterPos2,InterNeg2,InterPN2,InterZero,InterPN,InterNZ
           1 ,                 1705 ,                 1682 ,                 3012 ,                    0 ,                    0 ,                    0
           2 ,                 1745 ,                 1722 ,                 2932 ,                    0 ,                    0 ,                    0
           3 ,                 1752 ,                 1729 ,                 2918 ,                    0 ,                    0 ,                    0
           4 ,                 1769 ,                 1746 ,                 2883 ,                    0 ,                    0 ,                    0
           5 ,                 1781 ,                 1758 ,                 2860 ,                    0 ,                    0 ,                    0
           6 ,                 1784 ,                 1761 ,                 2853 ,                    0 ,                    0 ,                    0
           7 ,                 1801 ,                 1777 ,                 2821 ,                    0 ,                    0 ,                    0
           8 ,                 1799 ,                 1776 ,                 2824 ,                    0 ,                    0 ,                    0
           9 ,                 1801 ,                 1778 ,                 2820 ,                    0 ,                    0 ,                    0
          10 ,                 1803 ,                 1780 ,                 2816 ,                    0 ,                    0 ,                    0
          11 ,                 1804 ,                 1781 ,                 2814 ,                    0 ,                    0 ,                    0
          12 ,                 1810 ,                 1786 ,                 2802 ,                    0 ,                    0 ,                    0
          13 ,                 1812 ,                 1789 ,                 2798 ,                    0 ,                    0 ,                    0
          14 ,                 1813 ,                 1790 ,                 2796 ,                    0 ,                    0 ,                    0
          15 ,                 1818 ,                 1795 ,                 2785 ,                    0 ,                    0 ,                    0
          16 ,                 1827 ,                 1804 ,                 2768 ,                    0 ,                    0 ,                    0
          17 ,                 1827 ,                 1804 ,                 2768 ,                    0 ,                    0 ,                    0
          18 ,                 1826 ,                 1803 ,                 2770 ,                    0 ,                    0 ,                    0
          19 ,                 1830 ,                 1807 ,                 2762 ,                    0 ,                    0 ,                    0
          20 ,                 1824 ,                 1801 ,                 2774 ,                    0 ,                    0 ,                    0
          21 ,                 1823 ,                 1800 ,                 2775 ,                    0 ,                    0 ,                    0
          22 ,                 1830 ,                 1807 ,                 2762 ,                    0 ,                    0 ,                    0
          23 ,                 1830 ,                 1807 ,                 2761 ,                    0 ,                    0 ,                    0
          24 ,                 1831 ,                 1808 ,                 2759 ,                    0 ,                    0 ,                    0
          25 ,                 1832 ,                 1809 ,                 2757 ,                    0 ,                    0 ,                    0
          26 ,                 1825 ,                 1802 ,                 2772 ,                    0 ,                    0 ,                    0
          27 ,                 1829 ,                 1806 ,                 2763 ,                    0 ,                    0 ,                    0
          28 ,                 1832 ,                 1809 ,                 2757 ,                    0 ,                    0 ,                    0
          29 ,                 1831 ,                 1808 ,                 2759 ,                    0 ,                    0 ,                    0
          30 ,                 1829 ,                 1806 ,                 2763 ,                    0 ,                    0 ,                    0
          31 ,                 1837 ,                 1814 ,                 2748 ,                    0 ,                    0 ,                    0
          32 ,                 1837 ,                 1814 ,                 2747 ,                    0 ,                    0 ,                    0
          33 ,                 1837 ,                 1814 ,                 2748 ,                    0 ,                    0 ,                    0
          34 ,                 1834 ,                 1811 ,                 2753 ,                    0 ,                    0 ,                    0
          35 ,                 1834 ,                 1811 ,                 2754 ,                    0 ,                    0 ,                    0
          36 ,                 1842 ,                 1818 ,                 2738 ,                    0 ,                    0 ,                    0
          37 ,                 1841 ,                 1818 ,                 2739 ,                    0 ,                    0 ,                    0
          38 ,                 1841 ,                 1818 ,                 2739 ,                    0 ,                    0 ,                    0
          39 ,                 1844 ,                 1821 ,                 2734 ,                    0 ,                    0 ,                    0
          40 ,                 1843 ,                 1820 ,                 2736 ,                    0 ,                    0 ,                    0
          41 ,                 1841 ,                 1818 ,                 2740 ,                    0 ,                    0 ,                    0
          42 ,                 1844 ,                 1821 ,                 2733 ,                    0 ,                    0 ,                    0
          43 ,                 1840 ,                 1817 ,                 2742 ,                    0 ,                    0 ,                    0
          44 ,                 1839 ,                 1816 ,                 2743 ,                    0 ,                    0 ,                    0
          45 ,                 1844 ,                 1821 ,                 2734 ,                    0 ,                    0 ,                    0
          46 ,                 1848 ,                 1825 ,                 2726 ,                    0 ,                    0 ,                    0
          47 ,                 1843 ,                 1819 ,                 2737 ,                    0 ,                    0 ,                    0
          48 ,                 1845 ,                 1822 ,                 2732 ,                    0 ,                    0 ,                    0
          49 ,                 1843 ,                 1820 ,                 2736 ,                    0 ,                    0 ,                    0
          50 ,                 1841 ,                 1818 ,                 2740 ,                    0 ,                    0 ,                    0
          51 ,                 1842 ,                 1819 ,                 2738 ,                    0 ,                    0 ,                    0
          52 ,                 1848 ,                 1825 ,                 2726 ,                    0 ,                    0 ,                    0
          53 ,                 1846 ,                 1823 ,                 2730 ,                    0 ,                    0 ,                    0
          54 ,                 1846 ,                 1823 ,                 2729 ,                    0 ,                    0 ,                    0
          55 ,                 1840 ,                 1816 ,                 2742 ,                    0 ,                    0 ,                    0
          56 ,                 1846 ,                 1823 ,                 2729 ,                    0 ,                    0 ,                    0
          57 ,                 1851 ,                 1828 ,                 2720 ,                    0 ,                    0 ,                    0
          58 ,                 1843 ,                 1820 ,                 2736 ,                    0 ,                    0 ,                    0
          59 ,                 1853 ,                 1830 ,                 2715 ,                    0 ,                    0 ,                    0
          60 ,                 1851 ,                 1828 ,                 2720 ,                    0 ,                    0 ,                    0
          61 ,                 1854 ,                 1831 ,                 2714 ,                    0 ,                    0 ,                    0
          62 ,                 1843 ,                 1820 ,                 2735 ,                    0 ,                    0 ,                    0
          63 ,                 1837 ,                 1814 ,                 2747 ,                    0 ,                    0 ,                    0
          64 ,                 1836 ,                 1812 ,                 2751 ,                    0 ,                    0 ,                    0
          65 ,                 1848 ,                 1825 ,                 2725 ,                    0 ,                    0 ,                    0
          66 ,                 1846 ,                 1822 ,                 2731 ,                    0 ,                    0 ,                    0
          67 ,                 1852 ,                 1829 ,                 2718 ,                    0 ,                    0 ,                    0
          68 ,                 1851 ,                 1827 ,                 2721 ,                    0 ,                    0 ,                    0
          69 ,                 1848 ,                 1825 ,                 2725 ,                    0 ,                    0 ,                    0
          70 ,                 1847 ,                 1824 ,                 2727 ,                    0 ,                    0 ,                    0
          71 ,                 1845 ,                 1821 ,                 2732 ,                    0 ,                    0 ,                    0
          72 ,                 1850 ,                 1827 ,                 2721 ,                    0 ,                    0 ,                    0
          73 ,                 1854 ,                 1830 ,                 2715 ,                    0 ,                    0 ,                    0
          74 ,                 1854 ,                 1831 ,                 2713 ,                    0 ,                    0 ,                    0
          75 ,                 1853 ,                 1829 ,                 2716 ,                    0 ,                    0 ,                    0
