 Tiempo,  AverEnergy,  AverEnergy^2,  C_v
           1 , -0.11658333333333333      ,   1.4775208333333329E-002 ,   7.3970920138888719E-003
           2 , -0.15875000000000000      ,   2.6939374999999998E-002 ,   1.0861328124999988E-002
           3 , -0.18766666666666662      ,   3.6057916666666669E-002 ,   5.2446180555556880E-003
           4 , -0.20000000000000001      ,   4.0857499999999998E-002 ,   5.3593749999999388E-003
           5 , -0.21266666666666673      ,   4.6430833333333331E-002 ,   7.5232638888887270E-003
           6 , -0.22825000000000004      ,   5.3223541666666652E-002 ,   7.0342447916664844E-003
           7 , -0.23808333333333331      ,   5.7873958333333322E-002 ,   7.4392795138888707E-003
           8 , -0.23433333333333325      ,   5.6231666666666666E-002 ,   8.2472222222224664E-003
           9 , -0.25258333333333327      ,   6.5040624999999991E-002 ,   7.7642795138890656E-003
          10 , -0.25508333333333333      ,   6.6071458333333347E-002 ,   6.2746961805556882E-003
          11 , -0.24508333333333329      ,   6.1562291666666671E-002 ,   9.3528211805557308E-003
          12 , -0.24600000000000002      ,   6.1583750000000007E-002 ,   6.6734374999999520E-003
          13 , -0.24733333333333338      ,   6.2315833333333341E-002 ,   7.1378472222221375E-003
          14 , -0.25100000000000000      ,   6.4102083333333351E-002 ,   6.8817708333334358E-003
          15 , -0.26466666666666677      ,   7.1257499999999988E-002 ,   7.5565972222218190E-003
          16 , -0.27066666666666667      ,   7.4728749999999997E-002 ,   9.1769097222221818E-003
          17 , -0.27408333333333329      ,   7.6415208333333318E-002 ,   8.0845920138889089E-003
          18 , -0.27708333333333335      ,   7.7448541666666648E-002 ,   4.2085503472220377E-003
          19 , -0.27550000000000008      ,   7.6898750000000016E-002 ,   6.2406249999998227E-003
          20 , -0.28150000000000003      ,   8.0060416666666676E-002 ,   5.1135416666666343E-003
          21 , -0.27850000000000008      ,   7.8700416666666662E-002 ,   7.1135416666663794E-003
          22 , -0.28016666666666662      ,   7.9858333333333337E-002 ,   8.5310763888890410E-003
          23 , -0.27975000000000000      ,   7.9329374999999994E-002 ,   6.6832031249999292E-003
          24 , -0.28541666666666660      ,   8.2508958333333327E-002 ,   6.5392795138890548E-003
          25 , -0.28708333333333330      ,   8.3514375000000002E-002 ,   6.8595920138889849E-003
          26 , -0.29283333333333328      ,   8.7288333333333287E-002 ,   9.6060763888888151E-003
          27 , -0.29125000000000001      ,   8.5917708333333342E-002 ,   6.8196614583333412E-003
          28 , -0.29150000000000004      ,   8.5809583333333342E-002 ,   5.2333333333332184E-003
          29 , -0.28608333333333336      ,   8.3643958333333310E-002 ,   1.1251779513888650E-002
          30 , -0.29199999999999998      ,   8.6660833333333326E-002 ,   8.7302083333333329E-003
          31 , -0.28508333333333330      ,   8.2722708333333325E-002 ,   9.0637586805556586E-003
          32 , -0.29649999999999999      ,   8.9843333333333303E-002 ,   1.2069270833333159E-002
          33 , -0.30166666666666675      ,   9.2143333333333313E-002 ,   7.1284722222218246E-003
          34 , -0.30408333333333332      ,   9.3862708333333295E-002 ,   8.7252170138886823E-003
          35 , -0.30083333333333334      ,   9.1504166666666678E-002 ,   6.2717013888889499E-003
          36 , -0.30283333333333334      ,   9.2492500000000005E-002 ,   4.9029513888888820E-003
          37 , -0.29916666666666669      ,   9.0574166666666650E-002 ,   6.7092013888886935E-003
          38 , -0.29908333333333331      ,   9.0782708333333309E-002 ,   8.3241753472221638E-003
          39 , -0.30416666666666664      ,   9.3872499999999984E-002 ,   8.4696180555555306E-003
          40 , -0.29291666666666666      ,   8.7133541666666675E-002 ,   8.3335503472223467E-003
          41 , -0.29399999999999998      ,   8.7998750000000001E-002 ,   9.7671875000000970E-003
          42 , -0.29241666666666660      ,   8.7436458333333342E-002 ,   1.2055946180555832E-002
          43 , -0.30283333333333323      ,   9.3083750000000007E-002 ,   8.5982638888893251E-003
          44 , -0.30925000000000008      ,   9.6818958333333344E-002 ,   7.3962239583330938E-003
          45 , -0.30724999999999997      ,   9.5616041666666651E-002 ,   7.5842447916666875E-003
          46 , -0.30900000000000000      ,   9.6897916666666653E-002 ,   8.8557291666666038E-003
          47 , -0.31358333333333344      ,   9.9846458333333346E-002 ,   9.4496961805552206E-003
          48 , -0.30650000000000005      ,   9.6010833333333337E-002 ,   1.2928645833333152E-002
          49 , -0.30649999999999999      ,   9.5956666666666676E-002 ,   1.2590104166666782E-002
          50 , -0.30900000000000011      ,   9.6727500000000008E-002 ,   7.7906249999996381E-003
          51 , -0.31266666666666665      ,   9.9130833333333335E-002 ,   8.5649305555556693E-003
          52 , -0.31416666666666665      ,   9.9882083333333288E-002 ,   7.3836805555553553E-003
          53 , -0.30991666666666656      ,   9.7504791666666674E-002 ,   9.1028211805560012E-003
          54 , -0.31174999999999997      ,   9.8378124999999983E-002 ,   7.4378906250000335E-003
          55 , -0.31800000000000012      ,  0.10195916666666666      ,   5.2197916666661334E-003
          56 , -0.31633333333333330      ,  0.10118750000000000      ,   7.0045138888890322E-003
          57 , -0.32383333333333336      ,  0.10573958333333335      ,   5.4472222222221381E-003
          58 , -0.31583333333333330      ,  0.10065958333333333      ,   5.6805555555556470E-003
          59 , -0.32350000000000001      ,  0.10591625000000000      ,   7.9000000000000077E-003
          60 , -0.32000000000000006      ,  0.10372791666666668      ,   8.2994791666664812E-003
          61 , -0.31616666666666671      ,  0.10153041666666668      ,   9.8065972222221610E-003
          62 , -0.31033333333333329      ,   9.7540416666666671E-002 ,   7.7102430555557253E-003
          63 , -0.30991666666666656      ,   9.7086875000000003E-002 ,   6.4908420138893100E-003
          64 , -0.31091666666666673      ,   9.7781874999999976E-002 ,   6.9543836805551970E-003
          65 , -0.30716666666666664      ,   9.5366666666666627E-002 ,   6.3456597222220391E-003
          66 , -0.30741666666666667      ,   9.5799791666666662E-002 ,   8.0924045138888734E-003
          67 , -0.30824999999999997      ,   9.6090208333333302E-002 ,   6.7009114583332224E-003
          68 , -0.30991666666666667      ,   9.7456041666666687E-002 ,   8.7981336805556531E-003
          69 , -0.30716666666666675      ,   9.5928333333333324E-002 ,   9.8560763888884580E-003
          70 , -0.30199999999999994      ,   9.2306666666666662E-002 ,   6.8916666666668513E-003
          71 , -0.31050000000000000      ,   9.7715833333333321E-002 ,   8.1598958333332396E-003
          72 , -0.30599999999999994      ,   9.5164583333333302E-002 ,   9.5536458333333324E-003
          73 , -0.30791666666666662      ,   9.5908125000000011E-002 ,   6.8465711805558264E-003
          74 , -0.30375000000000002      ,   9.3611458333333342E-002 ,   8.4212239583333383E-003
          75 , -0.30250000000000005      ,   9.3086249999999995E-002 ,   9.8749999999998145E-003
          76 , -0.30974999999999997      ,   9.7451458333333310E-002 ,   9.4149739583332913E-003
          77 , -0.30825000000000008      ,   9.6416874999999999E-002 ,   8.7425781249996469E-003
          78 , -0.30483333333333340      ,   9.4907083333333322E-002 ,   1.2398263888888528E-002
          79 , -0.31083333333333329      ,   9.8607083333333290E-002 ,   1.2435763888888739E-002
          80 , -0.30900000000000000      ,   9.6925416666666667E-002 ,   9.0276041666666890E-003
          81 , -0.31274999999999997      ,   9.9059791666666647E-002 ,   7.7951822916666816E-003
          82 , -0.31225000000000008      ,   9.9636041666666647E-002 ,   1.3349869791666209E-002
          83 , -0.31450000000000000      ,   9.9915833333333343E-002 ,   6.2848958333333593E-003
          84 , -0.31483333333333335      ,  0.10023083333333330      ,   6.9425347222219422E-003
          85 , -0.31333333333333335      ,   9.9660000000000026E-002 ,   9.2638888888889499E-003
          86 , -0.30574999999999997      ,   9.4528541666666646E-002 ,   6.5342447916666782E-003
          87 , -0.30366666666666664      ,   9.3600833333333341E-002 ,   8.6711805555556888E-003
          88 , -0.30116666666666669      ,   9.2281666666666651E-002 ,   9.8769097222220145E-003
          89 , -0.30675000000000008      ,   9.5237291666666654E-002 ,   7.1358072916662824E-003
          90 , -0.31300000000000000      ,   9.9509583333333346E-002 ,   9.6286458333334074E-003
          91 , -0.31108333333333332      ,   9.8323124999999997E-002 ,   9.6892795138889092E-003
          92 , -0.30383333333333334      ,   9.3690833333333320E-002 ,   8.6008680555554017E-003
          93 , -0.30233333333333334      ,   9.2450833333333357E-002 ,   6.5336805555556328E-003
          94 , -0.30874999999999997      ,   9.6523958333333298E-002 ,   7.4837239583332681E-003
          95 , -0.31375000000000008      ,   9.9839374999999980E-002 ,   8.7519531249995695E-003
          96 , -0.30950000000000000      ,   9.7358333333333338E-002 ,   9.8005208333334058E-003
          97 , -0.31841666666666668      ,  0.10303229166666665      ,   1.0269487847222071E-002
          98 , -0.31066666666666654      ,   9.7790416666666671E-002 ,   7.9789930555560808E-003
          99 , -0.31658333333333338      ,  0.10200229166666666      ,   1.1108029513888680E-002
         100 , -0.31549999999999995      ,  0.10175375000000002      ,   1.3834375000000305E-002
