 Tiempo,InterPos,InterNeg,InterPN,InterZero,IdealR,MeasuredR, Rho
           1 ,                   54 ,                   58 ,                 1487 ,                    0 ,   638.30761718750000      ,   236.66339111328125      ,  0.37076698560493981     
           2 ,                   57 ,                   62 ,                 1480 ,                    0 ,   638.30761718750000      ,   235.54931640625000      ,  0.36902162854349652     
           3 ,                   63 ,                   65 ,                 1471 ,                    0 ,   638.30761718750000      ,   234.11691284179688      ,  0.36677756388582483     
           4 ,                   64 ,                   69 ,                 1465 ,                    0 ,   638.30761718750000      ,   233.16198730468750      ,  0.36528153671742447     
           5 ,                   66 ,                   70 ,                 1463 ,                    0 ,   638.30761718750000      ,   232.84367370605469      ,  0.36478285302626723     
           6 ,                   69 ,                   74 ,                 1456 ,                    0 ,   638.30761718750000      ,   231.72958374023438      ,  0.36303747205975279     
           7 ,                   68 ,                   76 ,                 1455 ,                    0 ,   638.30761718750000      ,   231.57043457031250      ,  0.36278814216670974     
           8 ,                   72 ,                   75 ,                 1452 ,                    0 ,   638.30761718750000      ,   231.09297180175781      ,  0.36204012858250956     
           9 ,                   75 ,                   80 ,                 1443 ,                    0 ,   638.30761718750000      ,   229.66058349609375      ,  0.35979608782990913     
          10 ,                   73 ,                   79 ,                 1447 ,                    0 ,   638.30761718750000      ,   230.29719543457031      ,  0.36079343130715225     
          11 ,                   74 ,                   77 ,                 1447 ,                    0 ,   638.30761718750000      ,   230.29719543457031      ,  0.36079343130715225     
          12 ,                   73 ,                   78 ,                 1447 ,                    0 ,   638.30761718750000      ,   230.29719543457031      ,  0.36079343130715225     
          13 ,                   72 ,                   78 ,                 1448 ,                    0 ,   638.30761718750000      ,   230.45634460449219      ,  0.36104276120019518     
          14 ,                   75 ,                   78 ,                 1445 ,                    0 ,   638.30761718750000      ,   229.97888183593750      ,  0.36029474761599500     
          15 ,                   75 ,                   82 ,                 1442 ,                    0 ,   638.30761718750000      ,   229.50141906738281      ,  0.35954673403179493     
          16 ,                   78 ,                   81 ,                 1439 ,                    0 ,   638.30761718750000      ,   229.02395629882812      ,  0.35879872044759475     
          17 ,                   78 ,                   84 ,                 1437 ,                    0 ,   638.30761718750000      ,   228.70564270019531      ,  0.35830003675643751     
          18 ,                   81 ,                   83 ,                 1434 ,                    0 ,   638.30761718750000      ,   228.22817993164062      ,  0.35755202317223733     
          19 ,                   81 ,                   85 ,                 1433 ,                    0 ,   638.30761718750000      ,   228.06903076171875      ,  0.35730269327919439     
          20 ,                   79 ,                   85 ,                 1435 ,                    0 ,   638.30761718750000      ,   228.38734436035156      ,  0.35780137697035164     
          21 ,                   81 ,                   85 ,                 1433 ,                    0 ,   638.30761718750000      ,   228.06903076171875      ,  0.35730269327919439     
          22 ,                   79 ,                   85 ,                 1434 ,                    0 ,   638.30761718750000      ,   228.22817993164062      ,  0.35755202317223733     
          23 ,                   81 ,                   87 ,                 1431 ,                    0 ,   638.30761718750000      ,   227.75071716308594      ,  0.35680400958803726     
          24 ,                   81 ,                   91 ,                 1427 ,                    0 ,   638.30761718750000      ,   227.11408996582031      ,  0.35580664220572289     
          25 ,                   80 ,                   89 ,                 1429 ,                    0 ,   638.30761718750000      ,   227.43240356445312      ,  0.35630532589688002     
          26 ,                   84 ,                   90 ,                 1425 ,                    0 ,   638.30761718750000      ,   226.79579162597656      ,  0.35530798241963690     
          27 ,                   84 ,                   90 ,                 1424 ,                    0 ,   638.30761718750000      ,   226.63662719726562      ,  0.35505862862152271     
          28 ,                   83 ,                   91 ,                 1425 ,                    0 ,   638.30761718750000      ,   226.79579162597656      ,  0.35530798241963690     
          29 ,                   82 ,                   90 ,                 1427 ,                    0 ,   638.30761718750000      ,   227.11408996582031      ,  0.35580664220572289     
          30 ,                   83 ,                   92 ,                 1423 ,                    0 ,   638.30761718750000      ,   226.47747802734375      ,  0.35480929872847966     
          31 ,                   83 ,                   90 ,                 1426 ,                    0 ,   638.30761718750000      ,   226.95494079589844      ,  0.35555731231267984     
          32 ,                   85 ,                   93 ,                 1420 ,                    0 ,   638.30761718750000      ,   226.00001525878906      ,  0.35406128514427948     
          33 ,                   84 ,                   93 ,                 1422 ,                    0 ,   638.30761718750000      ,   226.31832885742188      ,  0.35455996883543672     
          34 ,                   85 ,                   92 ,                 1421 ,                    0 ,   638.30761718750000      ,   226.15916442871094      ,  0.35431061503732253     
          35 ,                   88 ,                   91 ,                 1419 ,                    0 ,   638.30761718750000      ,   225.84085083007812      ,  0.35381193134616529     
          36 ,                   87 ,                   91 ,                 1420 ,                    0 ,   638.30761718750000      ,   226.00001525878906      ,  0.35406128514427948     
          37 ,                   87 ,                   91 ,                 1421 ,                    0 ,   638.30761718750000      ,   226.15916442871094      ,  0.35431061503732253     
          38 ,                   87 ,                   92 ,                 1420 ,                    0 ,   638.30761718750000      ,   226.00001525878906      ,  0.35406128514427948     
          39 ,                   87 ,                   93 ,                 1419 ,                    0 ,   638.30761718750000      ,   225.84085083007812      ,  0.35381193134616529     
