 Tiempo,InterPos2,InterNeg2,InterPN2,InterZero,InterPN,InterNZ
           1 ,                 1664 ,                 1722 ,                 3013 ,                    0 ,                    0 ,                    0
           2 ,                 1697 ,                 1756 ,                 2946 ,                    0 ,                    0 ,                    0
           3 ,                 1721 ,                 1779 ,                 2899 ,                    0 ,                    0 ,                    0
           4 ,                 1730 ,                 1789 ,                 2880 ,                    0 ,                    0 ,                    0
           5 ,                 1741 ,                 1799 ,                 2859 ,                    0 ,                    0 ,                    0
           6 ,                 1753 ,                 1811 ,                 2834 ,                    0 ,                    0 ,                    0
           7 ,                 1761 ,                 1819 ,                 2819 ,                    0 ,                    0 ,                    0
           8 ,                 1758 ,                 1816 ,                 2825 ,                    0 ,                    0 ,                    0
           9 ,                 1773 ,                 1831 ,                 2795 ,                    0 ,                    0 ,                    0
          10 ,                 1775 ,                 1833 ,                 2791 ,                    0 ,                    0 ,                    0
          11 ,                 1767 ,                 1825 ,                 2807 ,                    0 ,                    0 ,                    0
          12 ,                 1767 ,                 1825 ,                 2806 ,                    0 ,                    0 ,                    0
          13 ,                 1768 ,                 1826 ,                 2804 ,                    0 ,                    0 ,                    0
          14 ,                 1771 ,                 1829 ,                 2798 ,                    0 ,                    0 ,                    0
          15 ,                 1782 ,                 1840 ,                 2776 ,                    0 ,                    0 ,                    0
          16 ,                 1787 ,                 1845 ,                 2766 ,                    0 ,                    0 ,                    0
          17 ,                 1790 ,                 1848 ,                 2761 ,                    0 ,                    0 ,                    0
          18 ,                 1792 ,                 1850 ,                 2756 ,                    0 ,                    0 ,                    0
          19 ,                 1791 ,                 1849 ,                 2759 ,                    0 ,                    0 ,                    0
          20 ,                 1796 ,                 1854 ,                 2749 ,                    0 ,                    0 ,                    0
          21 ,                 1793 ,                 1851 ,                 2754 ,                    0 ,                    0 ,                    0
          22 ,                 1795 ,                 1853 ,                 2751 ,                    0 ,                    0 ,                    0
          23 ,                 1794 ,                 1852 ,                 2752 ,                    0 ,                    0 ,                    0
          24 ,                 1799 ,                 1857 ,                 2743 ,                    0 ,                    0 ,                    0
          25 ,                 1800 ,                 1858 ,                 2740 ,                    0 ,                    0 ,                    0
          26 ,                 1805 ,                 1863 ,                 2731 ,                    0 ,                    0 ,                    0
          27 ,                 1803 ,                 1862 ,                 2734 ,                    0 ,                    0 ,                    0
          28 ,                 1804 ,                 1862 ,                 2733 ,                    0 ,                    0 ,                    0
          29 ,                 1799 ,                 1857 ,                 2742 ,                    0 ,                    0 ,                    0
          30 ,                 1804 ,                 1862 ,                 2732 ,                    0 ,                    0 ,                    0
          31 ,                 1799 ,                 1857 ,                 2743 ,                    0 ,                    0 ,                    0
          32 ,                 1808 ,                 1866 ,                 2725 ,                    0 ,                    0 ,                    0
          33 ,                 1812 ,                 1870 ,                 2717 ,                    0 ,                    0 ,                    0
          34 ,                 1814 ,                 1872 ,                 2713 ,                    0 ,                    0 ,                    0
          35 ,                 1811 ,                 1869 ,                 2718 ,                    0 ,                    0 ,                    0
          36 ,                 1813 ,                 1871 ,                 2715 ,                    0 ,                    0 ,                    0
          37 ,                 1810 ,                 1868 ,                 2721 ,                    0 ,                    0 ,                    0
          38 ,                 1810 ,                 1868 ,                 2721 ,                    0 ,                    0 ,                    0
          39 ,                 1814 ,                 1872 ,                 2713 ,                    0 ,                    0 ,                    0
          40 ,                 1805 ,                 1863 ,                 2731 ,                    0 ,                    0 ,                    0
          41 ,                 1806 ,                 1864 ,                 2729 ,                    0 ,                    0 ,                    0
          42 ,                 1804 ,                 1863 ,                 2732 ,                    0 ,                    0 ,                    0
          43 ,                 1813 ,                 1871 ,                 2715 ,                    0 ,                    0 ,                    0
          44 ,                 1818 ,                 1876 ,                 2705 ,                    0 ,                    0 ,                    0
          45 ,                 1816 ,                 1874 ,                 2708 ,                    0 ,                    0 ,                    0
          46 ,                 1818 ,                 1876 ,                 2705 ,                    0 ,                    0 ,                    0
          47 ,                 1821 ,                 1879 ,                 2698 ,                    0 ,                    0 ,                    0
          48 ,                 1816 ,                 1874 ,                 2709 ,                    0 ,                    0 ,                    0
          49 ,                 1816 ,                 1874 ,                 2709 ,                    0 ,                    0 ,                    0
          50 ,                 1818 ,                 1876 ,                 2705 ,                    0 ,                    0 ,                    0
          51 ,                 1821 ,                 1879 ,                 2699 ,                    0 ,                    0 ,                    0
          52 ,                 1822 ,                 1880 ,                 2697 ,                    0 ,                    0 ,                    0
          53 ,                 1818 ,                 1877 ,                 2704 ,                    0 ,                    0 ,                    0
          54 ,                 1820 ,                 1878 ,                 2701 ,                    0 ,                    0 ,                    0
          55 ,                 1825 ,                 1883 ,                 2691 ,                    0 ,                    0 ,                    0
          56 ,                 1824 ,                 1882 ,                 2693 ,                    0 ,                    0 ,                    0
          57 ,                 1830 ,                 1888 ,                 2681 ,                    0 ,                    0 ,                    0
          58 ,                 1823 ,                 1881 ,                 2694 ,                    0 ,                    0 ,                    0
          59 ,                 1829 ,                 1887 ,                 2682 ,                    0 ,                    0 ,                    0
          60 ,                 1826 ,                 1885 ,                 2688 ,                    0 ,                    0 ,                    0
          61 ,                 1823 ,                 1882 ,                 2694 ,                    0 ,                    0 ,                    0
          62 ,                 1819 ,                 1877 ,                 2703 ,                    0 ,                    0 ,                    0
          63 ,                 1818 ,                 1877 ,                 2704 ,                    0 ,                    0 ,                    0
          64 ,                 1819 ,                 1877 ,                 2702 ,                    0 ,                    0 ,                    0
          65 ,                 1816 ,                 1874 ,                 2708 ,                    0 ,                    0 ,                    0
          66 ,                 1816 ,                 1875 ,                 2708 ,                    0 ,                    0 ,                    0
          67 ,                 1817 ,                 1875 ,                 2706 ,                    0 ,                    0 ,                    0
          68 ,                 1818 ,                 1877 ,                 2704 ,                    0 ,                    0 ,                    0
          69 ,                 1816 ,                 1874 ,                 2708 ,                    0 ,                    0 ,                    0
          70 ,                 1812 ,                 1870 ,                 2716 ,                    0 ,                    0 ,                    0
          71 ,                 1819 ,                 1877 ,                 2703 ,                    0 ,                    0 ,                    0
          72 ,                 1815 ,                 1873 ,                 2710 ,                    0 ,                    0 ,                    0
          73 ,                 1817 ,                 1875 ,                 2707 ,                    0 ,                    0 ,                    0
          74 ,                 1813 ,                 1872 ,                 2714 ,                    0 ,                    0 ,                    0
          75 ,                 1812 ,                 1871 ,                 2716 ,                    0 ,                    0 ,                    0
          76 ,                 1818 ,                 1876 ,                 2704 ,                    0 ,                    0 ,                    0
          77 ,                 1817 ,                 1875 ,                 2706 ,                    0 ,                    0 ,                    0
          78 ,                 1814 ,                 1872 ,                 2712 ,                    0 ,                    0 ,                    0
          79 ,                 1819 ,                 1877 ,                 2702 ,                    0 ,                    0 ,                    0
          80 ,                 1818 ,                 1876 ,                 2705 ,                    0 ,                    0 ,                    0
          81 ,                 1821 ,                 1879 ,                 2699 ,                    0 ,                    0 ,                    0
          82 ,                 1820 ,                 1878 ,                 2700 ,                    0 ,                    0 ,                    0
          83 ,                 1822 ,                 1880 ,                 2696 ,                    0 ,                    0 ,                    0
          84 ,                 1822 ,                 1880 ,                 2696 ,                    0 ,                    0 ,                    0
          85 ,                 1821 ,                 1879 ,                 2698 ,                    0 ,                    0 ,                    0
          86 ,                 1815 ,                 1873 ,                 2710 ,                    0 ,                    0 ,                    0
          87 ,                 1813 ,                 1872 ,                 2714 ,                    0 ,                    0 ,                    0
          88 ,                 1811 ,                 1870 ,                 2718 ,                    0 ,                    0 ,                    0
          89 ,                 1816 ,                 1874 ,                 2709 ,                    0 ,                    0 ,                    0
          90 ,                 1821 ,                 1879 ,                 2699 ,                    0 ,                    0 ,                    0
          91 ,                 1819 ,                 1877 ,                 2702 ,                    0 ,                    0 ,                    0
          92 ,                 1814 ,                 1872 ,                 2713 ,                    0 ,                    0 ,                    0
          93 ,                 1812 ,                 1870 ,                 2716 ,                    0 ,                    0 ,                    0
          94 ,                 1817 ,                 1876 ,                 2706 ,                    0 ,                    0 ,                    0
          95 ,                 1821 ,                 1880 ,                 2698 ,                    0 ,                    0 ,                    0
          96 ,                 1818 ,                 1876 ,                 2704 ,                    0 ,                    0 ,                    0
          97 ,                 1825 ,                 1883 ,                 2690 ,                    0 ,                    0 ,                    0
          98 ,                 1819 ,                 1877 ,                 2702 ,                    0 ,                    0 ,                    0
          99 ,                 1824 ,                 1882 ,                 2693 ,                    0 ,                    0 ,                    0
         100 ,                 1823 ,                 1881 ,                 2695 ,                    0 ,                    0 ,                    0
         101 ,                 1818 ,                 1876 ,                 2705 ,                    0 ,                    0 ,                    0
         102 ,                 1819 ,                 1877 ,                 2703 ,                    0 ,                    0 ,                    0
         103 ,                 1822 ,                 1880 ,                 2697 ,                    0 ,                    0 ,                    0
         104 ,                 1817 ,                 1875 ,                 2706 ,                    0 ,                    0 ,                    0
         105 ,                 1828 ,                 1886 ,                 2685 ,                    0 ,                    0 ,                    0
         106 ,                 1827 ,                 1885 ,                 2687 ,                    0 ,                    0 ,                    0
         107 ,                 1824 ,                 1882 ,                 2693 ,                    0 ,                    0 ,                    0
         108 ,                 1826 ,                 1884 ,                 2689 ,                    0 ,                    0 ,                    0
         109 ,                 1827 ,                 1885 ,                 2687 ,                    0 ,                    0 ,                    0
         110 ,                 1829 ,                 1888 ,                 2682 ,                    0 ,                    0 ,                    0
         111 ,                 1830 ,                 1889 ,                 2680 ,                    0 ,                    0 ,                    0
         112 ,                 1824 ,                 1882 ,                 2693 ,                    0 ,                    0 ,                    0
         113 ,                 1823 ,                 1882 ,                 2694 ,                    0 ,                    0 ,                    0
         114 ,                 1825 ,                 1883 ,                 2691 ,                    0 ,                    0 ,                    0
         115 ,                 1821 ,                 1879 ,                 2698 ,                    0 ,                    0 ,                    0
         116 ,                 1822 ,                 1881 ,                 2696 ,                    0 ,                    0 ,                    0
         117 ,                 1815 ,                 1873 ,                 2710 ,                    0 ,                    0 ,                    0
         118 ,                 1821 ,                 1879 ,                 2698 ,                    0 ,                    0 ,                    0
         119 ,                 1820 ,                 1878 ,                 2701 ,                    0 ,                    0 ,                    0
         120 ,                 1821 ,                 1879 ,                 2698 ,                    0 ,                    0 ,                    0
         121 ,                 1822 ,                 1880 ,                 2697 ,                    0 ,                    0 ,                    0
         122 ,                 1823 ,                 1881 ,                 2694 ,                    0 ,                    0 ,                    0
         123 ,                 1826 ,                 1884 ,                 2688 ,                    0 ,                    0 ,                    0
         124 ,                 1821 ,                 1880 ,                 2698 ,                    0 ,                    0 ,                    0
         125 ,                 1822 ,                 1880 ,                 2697 ,                    0 ,                    0 ,                    0
         126 ,                 1813 ,                 1872 ,                 2714 ,                    0 ,                    0 ,                    0
         127 ,                 1817 ,                 1875 ,                 2706 ,                    0 ,                    0 ,                    0
         128 ,                 1819 ,                 1877 ,                 2703 ,                    0 ,                    0 ,                    0
         129 ,                 1818 ,                 1876 ,                 2705 ,                    0 ,                    0 ,                    0
         130 ,                 1816 ,                 1874 ,                 2709 ,                    0 ,                    0 ,                    0
         131 ,                 1818 ,                 1876 ,                 2704 ,                    0 ,                    0 ,                    0
         132 ,                 1813 ,                 1871 ,                 2715 ,                    0 ,                    0 ,                    0
         133 ,                 1817 ,                 1875 ,                 2707 ,                    0 ,                    0 ,                    0
         134 ,                 1823 ,                 1881 ,                 2694 ,                    0 ,                    0 ,                    0
         135 ,                 1814 ,                 1872 ,                 2713 ,                    0 ,                    0 ,                    0
         136 ,                 1819 ,                 1877 ,                 2702 ,                    0 ,                    0 ,                    0
         137 ,                 1821 ,                 1879 ,                 2698 ,                    0 ,                    0 ,                    0
         138 ,                 1822 ,                 1880 ,                 2696 ,                    0 ,                    0 ,                    0
         139 ,                 1816 ,                 1874 ,                 2708 ,                    0 ,                    0 ,                    0
         140 ,                 1821 ,                 1879 ,                 2699 ,                    0 ,                    0 ,                    0
         141 ,                 1816 ,                 1874 ,                 2708 ,                    0 ,                    0 ,                    0
         142 ,                 1817 ,                 1875 ,                 2707 ,                    0 ,                    0 ,                    0
         143 ,                 1821 ,                 1879 ,                 2699 ,                    0 ,                    0 ,                    0
         144 ,                 1819 ,                 1877 ,                 2703 ,                    0 ,                    0 ,                    0
         145 ,                 1824 ,                 1882 ,                 2692 ,                    0 ,                    0 ,                    0
         146 ,                 1820 ,                 1878 ,                 2700 ,                    0 ,                    0 ,                    0
         147 ,                 1820 ,                 1878 ,                 2701 ,                    0 ,                    0 ,                    0
         148 ,                 1825 ,                 1883 ,                 2690 ,                    0 ,                    0 ,                    0
         149 ,                 1818 ,                 1876 ,                 2705 ,                    0 ,                    0 ,                    0
         150 ,                 1816 ,                 1874 ,                 2709 ,                    0 ,                    0 ,                    0
         151 ,                 1821 ,                 1879 ,                 2699 ,                    0 ,                    0 ,                    0
         152 ,                 1818 ,                 1876 ,                 2704 ,                    0 ,                    0 ,                    0
         153 ,                 1819 ,                 1877 ,                 2703 ,                    0 ,                    0 ,                    0
         154 ,                 1824 ,                 1882 ,                 2693 ,                    0 ,                    0 ,                    0
         155 ,                 1825 ,                 1883 ,                 2691 ,                    0 ,                    0 ,                    0
         156 ,                 1825 ,                 1883 ,                 2691 ,                    0 ,                    0 ,                    0
         157 ,                 1833 ,                 1891 ,                 2674 ,                    0 ,                    0 ,                    0
         158 ,                 1826 ,                 1884 ,                 2688 ,                    0 ,                    0 ,                    0
         159 ,                 1828 ,                 1886 ,                 2685 ,                    0 ,                    0 ,                    0
         160 ,                 1828 ,                 1886 ,                 2685 ,                    0 ,                    0 ,                    0
         161 ,                 1833 ,                 1891 ,                 2675 ,                    0 ,                    0 ,                    0
         162 ,                 1829 ,                 1887 ,                 2683 ,                    0 ,                    0 ,                    0
         163 ,                 1828 ,                 1886 ,                 2684 ,                    0 ,                    0 ,                    0
         164 ,                 1821 ,                 1879 ,                 2699 ,                    0 ,                    0 ,                    0
         165 ,                 1827 ,                 1885 ,                 2687 ,                    0 ,                    0 ,                    0
         166 ,                 1826 ,                 1885 ,                 2688 ,                    0 ,                    0 ,                    0
         167 ,                 1830 ,                 1888 ,                 2681 ,                    0 ,                    0 ,                    0
         168 ,                 1830 ,                 1889 ,                 2680 ,                    0 ,                    0 ,                    0
         169 ,                 1835 ,                 1893 ,                 2670 ,                    0 ,                    0 ,                    0
         170 ,                 1826 ,                 1884 ,                 2689 ,                    0 ,                    0 ,                    0
         171 ,                 1822 ,                 1880 ,                 2697 ,                    0 ,                    0 ,                    0
         172 ,                 1820 ,                 1878 ,                 2700 ,                    0 ,                    0 ,                    0
         173 ,                 1822 ,                 1880 ,                 2697 ,                    0 ,                    0 ,                    0
         174 ,                 1820 ,                 1878 ,                 2701 ,                    0 ,                    0 ,                    0
         175 ,                 1821 ,                 1879 ,                 2698 ,                    0 ,                    0 ,                    0
         176 ,                 1825 ,                 1883 ,                 2691 ,                    0 ,                    0 ,                    0
         177 ,                 1824 ,                 1882 ,                 2693 ,                    0 ,                    0 ,                    0
         178 ,                 1824 ,                 1882 ,                 2692 ,                    0 ,                    0 ,                    0
         179 ,                 1822 ,                 1880 ,                 2696 ,                    0 ,                    0 ,                    0
         180 ,                 1826 ,                 1884 ,                 2689 ,                    0 ,                    0 ,                    0
         181 ,                 1826 ,                 1884 ,                 2688 ,                    0 ,                    0 ,                    0
         182 ,                 1829 ,                 1887 ,                 2683 ,                    0 ,                    0 ,                    0
         183 ,                 1824 ,                 1882 ,                 2692 ,                    0 ,                    0 ,                    0
         184 ,                 1824 ,                 1882 ,                 2692 ,                    0 ,                    0 ,                    0
         185 ,                 1827 ,                 1885 ,                 2686 ,                    0 ,                    0 ,                    0
         186 ,                 1823 ,                 1881 ,                 2695 ,                    0 ,                    0 ,                    0
