 Tiempo,  AverEnergy,  AverEnergy^2,  C_v
           1 , -0.12000000000000001      ,   1.5790000000000002E-002 ,   1.7160495197772966E-003
           2 , -0.15866666666666668      ,   2.6330416666666672E-002 ,   1.4263032689260150E-003
           3 , -0.18491666666666670      ,   3.5143125000000004E-002 ,   1.1715450181257320E-003
           4 , -0.20350000000000001      ,   4.2409999999999989E-002 ,   1.2317902218401244E-003
           5 , -0.20933333333333329      ,   4.4703750000000000E-002 ,   1.0905007729696140E-003
           6 , -0.23099999999999998      ,   5.5140833333333326E-002 ,   2.1973252783815084E-003
           7 , -0.23458333333333334      ,   5.6478541666666673E-002 ,   1.7891376600455927E-003
           8 , -0.24383333333333335      ,   6.0706250000000003E-002 ,   1.5451304389105889E-003
           9 , -0.24483333333333335      ,   6.1534999999999992E-002 ,   1.9649864395227482E-003
          10 , -0.25000000000000006      ,   6.3537083333333341E-002 ,   1.2803498965004835E-003
          11 , -0.24683333333333335      ,   6.1952916666666663E-002 ,   1.2669411162800146E-003
          12 , -0.25533333333333336      ,   6.6578749999999992E-002 ,   1.7081962955560737E-003
          13 , -0.26058333333333328      ,   6.8913958333333344E-002 ,   1.2472651887826362E-003
          14 , -0.26924999999999993      ,   7.3551874999999989E-002 ,   1.3040896103307990E-003
          15 , -0.26866666666666666      ,   7.3059583333333331E-002 ,   1.0837106489704712E-003
          16 , -0.26958333333333334      ,   7.3929374999999992E-002 ,   1.5483969000768170E-003
          17 , -0.26433333333333336      ,   7.1368333333333339E-002 ,   1.8471880762047188E-003
          18 , -0.26749999999999996      ,   7.3507083333333334E-002 ,   2.4084364063541425E-003
          19 , -0.27424999999999999      ,   7.6501458333333341E-002 ,   1.5906122669602572E-003
          20 , -0.27091666666666664      ,   7.5551874999999991E-002 ,   2.6617714745990170E-003
          21 , -0.27641666666666675      ,   7.7616041666666677E-002 ,   1.4936643854172270E-003
          22 , -0.27366666666666678      ,   7.6532499999999989E-002 ,   2.0235255388484090E-003
          23 , -0.27658333333333329      ,   7.8184791666666670E-002 ,   2.0820389180076083E-003
          24 , -0.27449999999999997      ,   7.6419583333333332E-002 ,   1.3201647144953648E-003
          25 , -0.27583333333333332      ,   7.7526250000000005E-002 ,   1.7805214042133895E-003
          26 , -0.27941666666666670      ,   7.9743541666666667E-002 ,   2.0615656653435468E-003
