 Tiempo,InterPos,InterNeg,InterPN,InterZero,IdealR,MeasuredR, Rho
           1 ,                   62 ,                   54 ,                 1483 ,                    0 ,   638.30761718750000      ,   236.02677917480469      ,  0.36976964212769670     
           2 ,                   65 ,                   58 ,                 1476 ,                    0 ,   638.30761718750000      ,   234.91268920898438      ,  0.36802426116118214     
           3 ,                   67 ,                   61 ,                 1470 ,                    0 ,   638.30761718750000      ,   233.95776367187500      ,  0.36652823399278178     
           4 ,                   73 ,                   64 ,                 1462 ,                    0 ,   638.30761718750000      ,   232.68452453613281      ,  0.36453352313322429     
           5 ,                   73 ,                   66 ,                 1460 ,                    0 ,   638.30761718750000      ,   232.36621093750000      ,  0.36403483944206716     
           6 ,                   76 ,                   69 ,                 1453 ,                    0 ,   638.30761718750000      ,   231.25212097167969      ,  0.36228945847555261     
           7 ,                   78 ,                   69 ,                 1452 ,                    0 ,   638.30761718750000      ,   231.09297180175781      ,  0.36204012858250956     
           8 ,                   78 ,                   71 ,                 1450 ,                    0 ,   638.30761718750000      ,   230.77465820312500      ,  0.36154144489135243     
           9 ,                   79 ,                   70 ,                 1449 ,                    0 ,   638.30761718750000      ,   230.61550903320312      ,  0.36129211499830949     
          10 ,                   78 ,                   72 ,                 1448 ,                    0 ,   638.30761718750000      ,   230.45634460449219      ,  0.36104276120019518     
          11 ,                   79 ,                   72 ,                 1447 ,                    0 ,   638.30761718750000      ,   230.29719543457031      ,  0.36079343130715225     
          12 ,                   82 ,                   73 ,                 1443 ,                    0 ,   638.30761718750000      ,   229.66058349609375      ,  0.35979608782990913     
          13 ,                   83 ,                   73 ,                 1443 ,                    0 ,   638.30761718750000      ,   229.66058349609375      ,  0.35979608782990913     
          14 ,                   85 ,                   75 ,                 1439 ,                    0 ,   638.30761718750000      ,   229.02395629882812      ,  0.35879872044759475     
          15 ,                   85 ,                   77 ,                 1436 ,                    0 ,   638.30761718750000      ,   228.54649353027344      ,  0.35805070686339457     
          16 ,                   84 ,                   76 ,                 1438 ,                    0 ,   638.30761718750000      ,   228.86480712890625      ,  0.35854939055455171     
          17 ,                   84 ,                   77 ,                 1437 ,                    0 ,   638.30761718750000      ,   228.70564270019531      ,  0.35830003675643751     
          18 ,                   85 ,                   78 ,                 1436 ,                    0 ,   638.30761718750000      ,   228.54649353027344      ,  0.35805070686339457     
          19 ,                   88 ,                   79 ,                 1431 ,                    0 ,   638.30761718750000      ,   227.75071716308594      ,  0.35680400958803726     
          20 ,                   88 ,                   79 ,                 1432 ,                    0 ,   638.30761718750000      ,   227.90986633300781      ,  0.35705333948108020     
          21 ,                   89 ,                   81 ,                 1429 ,                    0 ,   638.30761718750000      ,   227.43240356445312      ,  0.35630532589688002     
          22 ,                   88 ,                   79 ,                 1432 ,                    0 ,   638.30761718750000      ,   227.90986633300781      ,  0.35705333948108020     
          23 ,                   89 ,                   78 ,                 1432 ,                    0 ,   638.30761718750000      ,   227.90986633300781      ,  0.35705333948108020     
          24 ,                   88 ,                   77 ,                 1433 ,                    0 ,   638.30761718750000      ,   228.06903076171875      ,  0.35730269327919439     
          25 ,                   90 ,                   80 ,                 1429 ,                    0 ,   638.30761718750000      ,   227.43240356445312      ,  0.35630532589688002     
          26 ,                   87 ,                   81 ,                 1431 ,                    0 ,   638.30761718750000      ,   227.75071716308594      ,  0.35680400958803726     
          27 ,                   88 ,                   80 ,                 1431 ,                    0 ,   638.30761718750000      ,   227.75071716308594      ,  0.35680400958803726     
          28 ,                   87 ,                   82 ,                 1430 ,                    0 ,   638.30761718750000      ,   227.59156799316406      ,  0.35655467969499421     
          29 ,                   88 ,                   81 ,                 1430 ,                    0 ,   638.30761718750000      ,   227.59156799316406      ,  0.35655467969499421     
          30 ,                   87 ,                   81 ,                 1430 ,                    0 ,   638.30761718750000      ,   227.59156799316406      ,  0.35655467969499421     
          31 ,                   88 ,                   80 ,                 1431 ,                    0 ,   638.30761718750000      ,   227.75071716308594      ,  0.35680400958803726     
          32 ,                   89 ,                   81 ,                 1429 ,                    0 ,   638.30761718750000      ,   227.43240356445312      ,  0.35630532589688002     
          33 ,                   90 ,                   81 ,                 1427 ,                    0 ,   638.30761718750000      ,   227.11408996582031      ,  0.35580664220572289     
          34 ,                   91 ,                   81 ,                 1427 ,                    0 ,   638.30761718750000      ,   227.11408996582031      ,  0.35580664220572289     
          35 ,                   92 ,                   84 ,                 1423 ,                    0 ,   638.30761718750000      ,   226.47747802734375      ,  0.35480929872847966     
          36 ,                   92 ,                   83 ,                 1424 ,                    0 ,   638.30761718750000      ,   226.63662719726562      ,  0.35505862862152271     
          37 ,                   90 ,                   83 ,                 1426 ,                    0 ,   638.30761718750000      ,   226.95494079589844      ,  0.35555731231267984     
