 Tiempo,InterPos2,InterNeg2,InterPN2,InterZero,InterPN,InterNZ
           1 ,                 1733 ,                 1658 ,                 3008 ,                    0 ,                    0 ,                    0
           2 ,                 1764 ,                 1689 ,                 2946 ,                    0 ,                    0 ,                    0
           3 ,                 1785 ,                 1710 ,                 2904 ,                    0 ,                    0 ,                    0
           4 ,                 1799 ,                 1725 ,                 2874 ,                    0 ,                    0 ,                    0
           5 ,                 1804 ,                 1730 ,                 2865 ,                    0 ,                    0 ,                    0
           6 ,                 1821 ,                 1747 ,                 2830 ,                    0 ,                    0 ,                    0
           7 ,                 1824 ,                 1750 ,                 2824 ,                    0 ,                    0 ,                    0
           8 ,                 1832 ,                 1758 ,                 2809 ,                    0 ,                    0 ,                    0
           9 ,                 1832 ,                 1758 ,                 2808 ,                    0 ,                    0 ,                    0
          10 ,                 1837 ,                 1762 ,                 2800 ,                    0 ,                    0 ,                    0
          11 ,                 1834 ,                 1760 ,                 2805 ,                    0 ,                    0 ,                    0
          12 ,                 1841 ,                 1767 ,                 2791 ,                    0 ,                    0 ,                    0
          13 ,                 1845 ,                 1771 ,                 2783 ,                    0 ,                    0 ,                    0
          14 ,                 1852 ,                 1778 ,                 2769 ,                    0 ,                    0 ,                    0
          15 ,                 1852 ,                 1777 ,                 2770 ,                    0 ,                    0 ,                    0
          16 ,                 1852 ,                 1778 ,                 2768 ,                    0 ,                    0 ,                    0
          17 ,                 1848 ,                 1774 ,                 2777 ,                    0 ,                    0 ,                    0
          18 ,                 1851 ,                 1776 ,                 2772 ,                    0 ,                    0 ,                    0
          19 ,                 1856 ,                 1782 ,                 2761 ,                    0 ,                    0 ,                    0
          20 ,                 1853 ,                 1779 ,                 2766 ,                    0 ,                    0 ,                    0
          21 ,                 1858 ,                 1784 ,                 2757 ,                    0 ,                    0 ,                    0
          22 ,                 1856 ,                 1781 ,                 2762 ,                    0 ,                    0 ,                    0
          23 ,                 1858 ,                 1784 ,                 2757 ,                    0 ,                    0 ,                    0
          24 ,                 1856 ,                 1782 ,                 2760 ,                    0 ,                    0 ,                    0
          25 ,                 1857 ,                 1783 ,                 2758 ,                    0 ,                    0 ,                    0
          26 ,                 1860 ,                 1786 ,                 2752 ,                    0 ,                    0 ,                    0
          27 ,                 1860 ,                 1786 ,                 2753 ,                    0 ,                    0 ,                    0
          28 ,                 1863 ,                 1788 ,                 2748 ,                    0 ,                    0 ,                    0
          29 ,                 1856 ,                 1782 ,                 2760 ,                    0 ,                    0 ,                    0
          30 ,                 1864 ,                 1790 ,                 2745 ,                    0 ,                    0 ,                    0
          31 ,                 1866 ,                 1791 ,                 2742 ,                    0 ,                    0 ,                    0
          32 ,                 1864 ,                 1790 ,                 2744 ,                    0 ,                    0 ,                    0
          33 ,                 1868 ,                 1794 ,                 2737 ,                    0 ,                    0 ,                    0
          34 ,                 1866 ,                 1791 ,                 2742 ,                    0 ,                    0 ,                    0
          35 ,                 1877 ,                 1803 ,                 2719 ,                    0 ,                    0 ,                    0
          36 ,                 1875 ,                 1801 ,                 2722 ,                    0 ,                    0 ,                    0
          37 ,                 1865 ,                 1791 ,                 2742 ,                    0 ,                    0 ,                    0
          38 ,                 1876 ,                 1801 ,                 2722 ,                    0 ,                    0 ,                    0
          39 ,                 1874 ,                 1800 ,                 2724 ,                    0 ,                    0 ,                    0
          40 ,                 1875 ,                 1800 ,                 2724 ,                    0 ,                    0 ,                    0
          41 ,                 1883 ,                 1809 ,                 2707 ,                    0 ,                    0 ,                    0
          42 ,                 1884 ,                 1810 ,                 2705 ,                    0 ,                    0 ,                    0
          43 ,                 1882 ,                 1808 ,                 2708 ,                    0 ,                    0 ,                    0
          44 ,                 1881 ,                 1807 ,                 2710 ,                    0 ,                    0 ,                    0
          45 ,                 1881 ,                 1807 ,                 2711 ,                    0 ,                    0 ,                    0
          46 ,                 1884 ,                 1810 ,                 2705 ,                    0 ,                    0 ,                    0
          47 ,                 1880 ,                 1805 ,                 2714 ,                    0 ,                    0 ,                    0
          48 ,                 1877 ,                 1803 ,                 2719 ,                    0 ,                    0 ,                    0
