 Tiempo,  AverEnergy,  AverEnergy^2,  C_v
           1 , -0.12004394531250000      ,   1.4473038911819457E-002 ,   3.9056316018104683E-004
           2 , -0.16286621093750001      ,   2.6585787534713745E-002 ,   3.7740543484686591E-004
           3 , -0.19243164062500001      ,   3.7086653709411624E-002 ,   3.5448372364041934E-004
           4 , -0.20476074218750001      ,   4.2013615369796753E-002 ,   5.4158642888066898E-004
           5 , -0.22136230468750001      ,   4.9087959527969363E-002 ,   5.4180994629856802E-004
           6 , -0.22749023437499999      ,   5.1843833923339841E-002 ,   5.7516992092135517E-004
           7 , -0.23344726562500001      ,   5.4589402675628659E-002 ,   5.7360529899593178E-004
           8 , -0.24265136718749999      ,   5.8914798498153689E-002 ,   2.1945312619212412E-004
           9 , -0.25046386718750002      ,   6.2804871797561640E-002 ,   4.5451894402489743E-004
          10 , -0.25437011718750002      ,   6.4807981252670288E-002 ,   6.4890459179874418E-004
          11 , -0.25527343749999998      ,   6.5272128582000738E-002 ,   6.7250430583962184E-004
          12 , -0.26137695312499998      ,   6.8504023551940921E-002 ,   1.1631995439530078E-003
          13 , -0.26660156250000000      ,   7.1249723434448242E-002 ,   1.0833144187927246E-003
          14 , -0.26589355468749998      ,   7.0836049318313596E-002 ,   8.5416808724408239E-004
          15 , -0.26699218749999998      ,   7.1399855613708499E-002 ,   7.1892142295849198E-004
          16 , -0.27072753906250002      ,   7.3413711786270139E-002 ,   7.5194612145414869E-004
          17 , -0.27209472656250000      ,   7.4252384901046756E-002 ,   1.3552792370319540E-003
          18 , -0.27355957031250000      ,   7.4995809793472284E-002 ,   1.0060705244540821E-003
          19 , -0.27670898437500002      ,   7.6734220981597906E-002 ,   1.0397434234618412E-003
          20 , -0.28046874999999999      ,   7.8821766376495364E-002 ,   9.9404156208042146E-004
          21 , -0.28032226562500001      ,   7.8844130039215088E-002 ,   1.6472339630126988E-003
          22 , -0.27722167968750000      ,   7.6984983682632444E-002 ,   8.3202496170995885E-004
          23 , -0.28029785156249998      ,   7.8737884759902954E-002 ,   1.0687448084354886E-003
          24 , -0.27971191406250001      ,   7.8300040960311887E-002 ,   3.8303807377813859E-004
          25 , -0.28447265625000001      ,   8.1036901473999029E-002 ,   7.0130825042726691E-004
          26 , -0.29245605468750002      ,   8.5619872808456426E-002 ,   5.5830553174016778E-004
          27 , -0.28752441406250001      ,   8.2711249589920044E-002 ,   2.5600567460058732E-004
          28 , -0.29187011718750000      ,   8.5227888822555539E-002 ,   2.4827197194097692E-004
          29 , -0.29279785156249999      ,   8.5790079832077024E-002 ,   3.7186220288275285E-004
          30 , -0.29499511718749999      ,   8.7064641714096072E-002 ,   2.6576593518262692E-004
          31 , -0.29616699218749998      ,   8.7819010019302368E-002 ,   6.5076723694806188E-004
          32 , -0.29682617187499999      ,   8.8178658485412592E-002 ,   4.5551359653473247E-004
          33 , -0.29482421874999998      ,   8.7016558647155767E-002 ,   5.9524178504955644E-004
          34 , -0.29602050781250000      ,   8.7694007158279422E-002 ,   4.1166320443155116E-004
          35 , -0.29748535156250000      ,   8.8573378324508664E-002 ,   4.7402456402776891E-004
          36 , -0.29587402343750002      ,   8.7695890665054316E-002 ,   9.6533074974997773E-004
          37 , -0.29470214843749998      ,   8.6960500478744512E-002 ,   6.9465115666404731E-004
          38 , -0.28955078125000000      ,   8.3905410766601560E-002 ,   4.1097402572630101E-004
          39 , -0.29086914062500002      ,   8.4697723388671875E-002 ,   5.8041512966148720E-004
          40 , -0.29389648437499999      ,   8.6461329460144037E-002 ,   5.3866207599638505E-004
          41 , -0.29074707031250002      ,   8.4679001569747919E-002 ,   9.0714171528801998E-004
          42 , -0.29887695312500001      ,   8.9452946186065668E-002 ,   7.8445672988883275E-004
