 Tiempo,InterPos,InterNeg,InterPN,InterZero,IdealR,MeasuredR, Rho
           1 ,                  563 ,                  594 ,                15226 ,                    0 ,   6536.2700195312500      ,   2423.2932128906250      ,  0.37074557899987304     
           2 ,                  622 ,                  652 ,                15109 ,                    0 ,   6536.2700195312500      ,   2404.6718750000000      ,  0.36789665479157352     
           3 ,                  653 ,                  684 ,                15046 ,                    0 ,   6536.2700195312500      ,   2394.6452636718750      ,  0.36636265890429165     
           4 ,                  676 ,                  708 ,                14998 ,                    0 ,   6536.2700195312500      ,   2387.0058593750000      ,  0.36519388768247130     
           5 ,                  706 ,                  730 ,                14946 ,                    0 ,   6536.2700195312500      ,   2378.7297363281250      ,  0.36392770329563529     
           6 ,                  719 ,                  755 ,                14909 ,                    0 ,   6536.2700195312500      ,   2372.8410644531250      ,  0.36302678092593454     
           7 ,                  746 ,                  769 ,                14868 ,                    0 ,   6536.2700195312500      ,   2366.3156738281250      ,  0.36202844539121803     
           8 ,                  760 ,                  781 ,                14842 ,                    0 ,   6536.2700195312500      ,   2362.1774902343750      ,  0.36139533452196315     
           9 ,                  763 ,                  792 ,                14827 ,                    0 ,   6536.2700195312500      ,   2359.7902832031250      ,  0.36103010985650164     
          10 ,                  773 ,                  810 ,                14800 ,                    0 ,   6536.2700195312500      ,   2355.4931640625000      ,  0.36037268304766645     
          11 ,                  796 ,                  821 ,                14765 ,                    0 ,   6536.2700195312500      ,   2349.9226074218750      ,  0.35952042990879995     
          12 ,                  797 ,                  825 ,                14761 ,                    0 ,   6536.2700195312500      ,   2349.2861328125000      ,  0.35942305409545783     
          13 ,                  796 ,                  833 ,                14754 ,                    0 ,   6536.2700195312500      ,   2348.1718750000000      ,  0.35925258105668034     
          14 ,                  807 ,                  838 ,                14738 ,                    0 ,   6536.2700195312500      ,   2345.6254882812500      ,  0.35886300309996477     
          15 ,                  829 ,                  850 ,                14703 ,                    0 ,   6536.2700195312500      ,   2340.0551757812500      ,  0.35801078731277192     
          16 ,                  834 ,                  847 ,                14701 ,                    0 ,   6536.2700195312500      ,   2339.7368164062500      ,  0.35796208073026403     
          17 ,                  842 ,                  861 ,                14680 ,                    0 ,   6536.2700195312500      ,   2336.3945312500000      ,  0.35745073631727886     
          18 ,                  858 ,                  863 ,                14662 ,                    0 ,   6536.2700195312500      ,   2333.5297851562500      ,  0.35701245177805541     
          19 ,                  846 ,                  854 ,                14683 ,                    0 ,   6536.2700195312500      ,   2336.8720703125000      ,  0.35752379619104069     
          20 ,                  847 ,                  861 ,                14675 ,                    0 ,   6536.2700195312500      ,   2335.5986328125000      ,  0.35732896986100915     
          21 ,                  863 ,                  871 ,                14649 ,                    0 ,   6536.2700195312500      ,   2331.4606933593750      ,  0.35669589634342802     
          22 ,                  862 ,                  878 ,                14643 ,                    0 ,   6536.2700195312500      ,   2330.5058593750000      ,  0.35654981394757812     
          23 ,                  863 ,                  878 ,                14642 ,                    0 ,   6536.2700195312500      ,   2330.3466796875000      ,  0.35652546065632418     
          24 ,                  860 ,                  877 ,                14646 ,                    0 ,   6536.2700195312500      ,   2330.9831542968750      ,  0.35662283646966619     
          25 ,                  858 ,                  885 ,                14639 ,                    0 ,   6536.2700195312500      ,   2329.8691406250000      ,  0.35645240078256235     
          26 ,                  869 ,                  886 ,                14627 ,                    0 ,   6536.2700195312500      ,   2327.9592285156250      ,  0.35616019863918891     
          27 ,                  870 ,                  891 ,                14622 ,                    0 ,   6536.2700195312500      ,   2327.1635742187500      ,  0.35603846953459295     
          28 ,                  881 ,                  888 ,                14614 ,                    0 ,   6536.2700195312500      ,   2325.8903808593750      ,  0.35584368055623516     
          29 ,                  862 ,                  893 ,                14628 ,                    0 ,   6536.2700195312500      ,   2328.1184082031250      ,  0.35618455193044285     
          30 ,                  876 ,                  900 ,                14607 ,                    0 ,   6536.2700195312500      ,   2324.7761230468750      ,  0.35567320751745757     
          31 ,                  884 ,                  891 ,                14608 ,                    0 ,   6536.2700195312500      ,   2324.9353027343750      ,  0.35569756080871151     
          32 ,                  878 ,                  898 ,                14607 ,                    0 ,   6536.2700195312500      ,   2324.7761230468750      ,  0.35567320751745757     
          33 ,                  883 ,                  903 ,                14596 ,                    0 ,   6536.2700195312500      ,   2323.0253906250000      ,  0.35540535866533807     
          34 ,                  887 ,                  903 ,                14593 ,                    0 ,   6536.2700195312500      ,   2322.5480957031250      ,  0.35533233614324999     
          35 ,                  884 ,                  897 ,                14601 ,                    0 ,   6536.2700195312500      ,   2323.8212890625000      ,  0.35552712512160767     
          36 ,                  867 ,                  894 ,                14621 ,                    0 ,   6536.2700195312500      ,   2327.0043945312500      ,  0.35601411624333901     
          37 ,                  878 ,                  900 ,                14605 ,                    0 ,   6536.2700195312500      ,   2324.4577636718750      ,  0.35562450093494979     
          38 ,                  880 ,                  889 ,                14613 ,                    0 ,   6536.2700195312500      ,   2325.7312011718750      ,  0.35581932726498122     
