 Tiempo,InterPos2,InterNeg2,InterPN2,InterZero,InterPN,InterNZ
           1 ,                17259 ,                17524 ,                30752 ,                    0 ,                    0 ,                    0
           2 ,                17612 ,                17876 ,                30047 ,                    0 ,                    0 ,                    0
           3 ,                17810 ,                18075 ,                29650 ,                    0 ,                    0 ,                    0
           4 ,                17939 ,                18204 ,                29392 ,                    0 ,                    0 ,                    0
           5 ,                18068 ,                18333 ,                29134 ,                    0 ,                    0 ,                    0
           6 ,                18128 ,                18393 ,                29014 ,                    0 ,                    0 ,                    0
           7 ,                18175 ,                18440 ,                28920 ,                    0 ,                    0 ,                    0
           8 ,                18186 ,                18451 ,                28898 ,                    0 ,                    0 ,                    0
           9 ,                18228 ,                18493 ,                28814 ,                    0 ,                    0 ,                    0
          10 ,                18278 ,                18543 ,                28713 ,                    0 ,                    0 ,                    0
          11 ,                18321 ,                18585 ,                28629 ,                    0 ,                    0 ,                    0
          12 ,                18385 ,                18650 ,                28500 ,                    0 ,                    0 ,                    0
          13 ,                18394 ,                18659 ,                28482 ,                    0 ,                    0 ,                    0
          14 ,                18449 ,                18714 ,                28372 ,                    0 ,                    0 ,                    0
          15 ,                18466 ,                18731 ,                28338 ,                    0 ,                    0 ,                    0
          16 ,                18461 ,                18725 ,                28349 ,                    0 ,                    0 ,                    0
          17 ,                18484 ,                18749 ,                28302 ,                    0 ,                    0 ,                    0
          18 ,                18490 ,                18755 ,                28289 ,                    0 ,                    0 ,                    0
          19 ,                18496 ,                18761 ,                28278 ,                    0 ,                    0 ,                    0
          20 ,                18474 ,                18739 ,                28322 ,                    0 ,                    0 ,                    0
          21 ,                18509 ,                18774 ,                28252 ,                    0 ,                    0 ,                    0
          22 ,                18540 ,                18805 ,                28190 ,                    0 ,                    0 ,                    0
          23 ,                18553 ,                18818 ,                28164 ,                    0 ,                    0 ,                    0
          24 ,                18567 ,                18831 ,                28137 ,                    0 ,                    0 ,                    0
          25 ,                18578 ,                18843 ,                28114 ,                    0 ,                    0 ,                    0
          26 ,                18564 ,                18829 ,                28142 ,                    0 ,                    0 ,                    0
          27 ,                18581 ,                18846 ,                28107 ,                    0 ,                    0 ,                    0
          28 ,                18598 ,                18863 ,                28074 ,                    0 ,                    0 ,                    0
          29 ,                18588 ,                18853 ,                28093 ,                    0 ,                    0 ,                    0
          30 ,                18598 ,                18863 ,                28074 ,                    0 ,                    0 ,                    0
          31 ,                18581 ,                18846 ,                28108 ,                    0 ,                    0 ,                    0
          32 ,                18580 ,                18844 ,                28111 ,                    0 ,                    0 ,                    0
          33 ,                18607 ,                18871 ,                28057 ,                    0 ,                    0 ,                    0
          34 ,                18633 ,                18898 ,                28004 ,                    0 ,                    0 ,                    0
          35 ,                18633 ,                18897 ,                28005 ,                    0 ,                    0 ,                    0
          36 ,                18610 ,                18875 ,                28050 ,                    0 ,                    0 ,                    0
          37 ,                18670 ,                18935 ,                27929 ,                    0 ,                    0 ,                    0
          38 ,                18645 ,                18910 ,                27980 ,                    0 ,                    0 ,                    0
          39 ,                18625 ,                18890 ,                28020 ,                    0 ,                    0 ,                    0
          40 ,                18651 ,                18916 ,                27968 ,                    0 ,                    0 ,                    0
          41 ,                18628 ,                18893 ,                28014 ,                    0 ,                    0 ,                    0
          42 ,                18613 ,                18878 ,                28044 ,                    0 ,                    0 ,                    0
          43 ,                18668 ,                18933 ,                27934 ,                    0 ,                    0 ,                    0
          44 ,                18612 ,                18876 ,                28047 ,                    0 ,                    0 ,                    0
          45 ,                18619 ,                18884 ,                28032 ,                    0 ,                    0 ,                    0
          46 ,                18623 ,                18888 ,                28024 ,                    0 ,                    0 ,                    0
          47 ,                18659 ,                18923 ,                27953 ,                    0 ,                    0 ,                    0
          48 ,                18667 ,                18932 ,                27936 ,                    0 ,                    0 ,                    0
          49 ,                18666 ,                18931 ,                27938 ,                    0 ,                    0 ,                    0
          50 ,                18654 ,                18919 ,                27962 ,                    0 ,                    0 ,                    0
          51 ,                18653 ,                18918 ,                27964 ,                    0 ,                    0 ,                    0
          52 ,                18613 ,                18878 ,                28043 ,                    0 ,                    0 ,                    0
          53 ,                18626 ,                18891 ,                28018 ,                    0 ,                    0 ,                    0
          54 ,                18618 ,                18883 ,                28034 ,                    0 ,                    0 ,                    0
          55 ,                18638 ,                18903 ,                27993 ,                    0 ,                    0 ,                    0
          56 ,                18662 ,                18926 ,                27947 ,                    0 ,                    0 ,                    0
          57 ,                18660 ,                18924 ,                27951 ,                    0 ,                    0 ,                    0
          58 ,                18671 ,                18936 ,                27928 ,                    0 ,                    0 ,                    0
          59 ,                18654 ,                18919 ,                27961 ,                    0 ,                    0 ,                    0
          60 ,                18655 ,                18920 ,                27959 ,                    0 ,                    0 ,                    0
          61 ,                18682 ,                18946 ,                27907 ,                    0 ,                    0 ,                    0
          62 ,                18651 ,                18916 ,                27967 ,                    0 ,                    0 ,                    0
          63 ,                18671 ,                18936 ,                27928 ,                    0 ,                    0 ,                    0
          64 ,                18691 ,                18956 ,                27887 ,                    0 ,                    0 ,                    0
          65 ,                18660 ,                18925 ,                27950 ,                    0 ,                    0 ,                    0
          66 ,                18637 ,                18902 ,                27996 ,                    0 ,                    0 ,                    0
          67 ,                18663 ,                18927 ,                27945 ,                    0 ,                    0 ,                    0
          68 ,                18665 ,                18930 ,                27940 ,                    0 ,                    0 ,                    0
          69 ,                18674 ,                18939 ,                27922 ,                    0 ,                    0 ,                    0
          70 ,                18671 ,                18936 ,                27928 ,                    0 ,                    0 ,                    0
          71 ,                18674 ,                18939 ,                27922 ,                    0 ,                    0 ,                    0
          72 ,                18701 ,                18966 ,                27868 ,                    0 ,                    0 ,                    0
          73 ,                18698 ,                18963 ,                27873 ,                    0 ,                    0 ,                    0
          74 ,                18709 ,                18974 ,                27852 ,                    0 ,                    0 ,                    0
          75 ,                18693 ,                18958 ,                27884 ,                    0 ,                    0 ,                    0
          76 ,                18720 ,                18985 ,                27830 ,                    0 ,                    0 ,                    0
          77 ,                18714 ,                18979 ,                27842 ,                    0 ,                    0 ,                    0
          78 ,                18685 ,                18949 ,                27901 ,                    0 ,                    0 ,                    0
          79 ,                18727 ,                18991 ,                27817 ,                    0 ,                    0 ,                    0
          80 ,                18696 ,                18961 ,                27878 ,                    0 ,                    0 ,                    0
          81 ,                18715 ,                18979 ,                27841 ,                    0 ,                    0 ,                    0
          82 ,                18696 ,                18961 ,                27877 ,                    0 ,                    0 ,                    0
          83 ,                18739 ,                19004 ,                27792 ,                    0 ,                    0 ,                    0
          84 ,                18738 ,                19003 ,                27794 ,                    0 ,                    0 ,                    0
          85 ,                18748 ,                19013 ,                27774 ,                    0 ,                    0 ,                    0
          86 ,                18716 ,                18981 ,                27838 ,                    0 ,                    0 ,                    0
          87 ,                18709 ,                18974 ,                27852 ,                    0 ,                    0 ,                    0
          88 ,                18707 ,                18972 ,                27856 ,                    0 ,                    0 ,                    0
