 Tiempo,  AverEnergy,  AverEnergy^2,  C_v
           1 , -0.12336425781250000      ,   1.5279799699783325E-002 ,   3.8162246346472740E-004
           2 , -0.16364746093749999      ,   2.6823705434799193E-002 ,   2.7008727192879070E-004
           3 , -0.18862304687500001      ,   3.5655188560485843E-002 ,   4.7834217548371749E-004
           4 , -0.20322265624999999      ,   4.1320848464965823E-002 ,   1.3375282287599044E-004
           5 , -0.22255859375000001      ,   4.9650239944458011E-002 ,   7.3695182800292622E-004
           6 , -0.23405761718750001      ,   5.4868394136428834E-002 ,   5.3391233086584611E-004
           7 , -0.24414062500000000      ,   5.9705603122711184E-002 ,   6.3098967075349635E-004
           8 , -0.25158691406250000      ,   6.3409548997879026E-002 ,   7.0983543992040807E-004
           9 , -0.25043945312499999      ,   6.2954366207122803E-002 ,   1.4652907848358536E-003
          10 , -0.25654296874999999      ,   6.5980732440948486E-002 ,   1.0402351617813492E-003
          11 , -0.26455078124999998      ,   7.0182991027832028E-002 ,   1.2242197990418313E-003
          12 , -0.26625976562499998      ,   7.1052181720733645E-002 ,   9.8699331283575928E-004
          13 , -0.26823730468750001      ,   7.2086161375045782E-002 ,   8.4318593144413687E-004
          14 , -0.27573242187500002      ,   7.6107347011566157E-002 ,   4.9361586570732460E-004
          15 , -0.27438964843750002      ,   7.5409299135208135E-002 ,   7.4762478470798491E-004
          16 , -0.27534179687499999      ,   7.5943195819854731E-002 ,   8.1306695938112433E-004
          17 , -0.27814941406249999      ,   7.7521890401840210E-002 ,   9.6746161580086101E-004
          18 , -0.28413085937499999      ,   8.0779588222503668E-002 ,   3.0776858329778500E-004
          19 , -0.28737792968749998      ,   8.2701021432876581E-002 ,   7.1841850876816493E-004
          20 , -0.28234863281250000      ,   7.9801315069198603E-002 ,   5.0352886319156992E-004
          21 , -0.28071289062499999      ,   7.8913843631744390E-002 ,   7.1322917938243177E-004
          22 , -0.28002929687500000      ,   7.8521001338958743E-002 ,   6.5371394157411403E-004
          23 , -0.28457031249999998      ,   8.1075727939605713E-002 ,   5.9665739536290258E-004
          24 , -0.28850097656250001      ,   8.3277088403701779E-002 ,   2.7671828865998352E-004
          25 , -0.28852539062499999      ,   8.3304595947265622E-002 ,   3.6059319972990556E-004
          26 , -0.28151855468749998      ,   7.9398757219314581E-002 ,   9.1287866234787685E-004
          27 , -0.28457031249999998      ,   8.1074571609497076E-002 ,   5.8943033218392116E-004
          28 , -0.28552246093750000      ,   8.1610113382339478E-002 ,   5.4398551583290100E-004
          29 , -0.28928222656250002      ,   8.3752208948135370E-002 ,   4.2501464486109641E-004
          30 , -0.28662109375000000      ,   8.2182741165161138E-002 ,   1.9431114196780813E-004
          31 , -0.28637695312500000      ,   8.2067251205444336E-002 ,   3.4682452678680420E-004
          32 , -0.28989257812500002      ,   8.4088408946990961E-002 ,   3.1688809394823936E-004
          33 , -0.29011230468749999      ,   8.4257370233535772E-002 ,   5.7638064026839866E-004
          34 , -0.29111328125000002      ,   8.4811127185821539E-002 ,   4.0115416049951724E-004
          35 , -0.29748535156250000      ,   8.8594025373458868E-002 ,   6.0306861996654165E-004
          36 , -0.29812011718749998      ,   8.8970595598220820E-002 ,   5.9369578957564270E-004
          37 , -0.29653320312499998      ,   8.8027179241180420E-002 ,   5.9524178504955644E-004
          38 , -0.29753417968750001      ,   8.8560837507247928E-002 ,   2.1405890583987147E-004
          39 , -0.29653320312499998      ,   8.8008940219879150E-002 ,   4.8124790191662187E-004
          40 , -0.30078125000000000      ,   9.0590322017669672E-002 ,   7.5601041316982615E-004
          41 , -0.29655761718750001      ,   8.8059991598129272E-002 ,   7.0982053875920034E-004
          42 , -0.29860839843749998      ,   8.9259666204452512E-002 ,   5.7931616902354502E-004
          43 , -0.30178222656249998      ,   9.1105109453201299E-002 ,   2.0373240113271893E-004
          44 , -0.29562988281250002      ,   8.7476319074630743E-002 ,   4.9557164311401711E-004
          45 , -0.29365234374999999      ,   8.6287152767181394E-002 ,   3.4658610820774080E-004
          46 , -0.29904785156250002      ,   8.9480119943618777E-002 ,   3.1564012169830666E-004
          47 , -0.30329589843749999      ,   9.2224067449569708E-002 ,   1.4729090034962776E-003
          48 , -0.30354003906249999      ,   9.2387193441390986E-002 ,   1.5664882957935368E-003
          49 , -0.30302734375000001      ,   9.1978001594543460E-002 ,   9.5269083976740748E-004
          50 , -0.30527343750000002      ,   9.3293511867523188E-002 ,   6.3525140285482923E-004
          51 , -0.30324707031249998      ,   9.2127269506454473E-002 ,   1.0530240833760834E-003
          52 , -0.30495605468749998      ,   9.3112403154373163E-002 ,   7.1379914879802012E-004
          53 , -0.30017089843750000      ,   9.0198677778244016E-002 ,   6.0068443417547399E-004
          54 , -0.29750976562499998      ,   8.8674962520599365E-002 ,   1.0181367397309356E-003
          55 , -0.29931640625000000      ,   8.9768707752227783E-002 ,   1.1149793863296509E-003
          56 , -0.29716796875000001      ,   8.8450014591217041E-002 ,   8.8258087635037161E-004
          57 , -0.29587402343750002      ,   8.7736064195632929E-002 ,   1.2164153158663107E-003
          58 , -0.29985351562500001      ,   9.0113818645477295E-002 ,   1.2605488300322654E-003
          59 , -0.30356445312500002      ,   9.2247593402862552E-002 ,   6.0135126113882581E-004
          60 , -0.30393066406250002      ,   9.2604762315750128E-002 ,   1.4432109892367762E-003
