 Tiempo,InterPos2,InterNeg2,InterPN2,InterZero,InterPN,InterNZ
           1 ,                17483 ,                17305 ,                30746 ,                    0 ,                    0 ,                    0
           2 ,                17813 ,                17635 ,                30086 ,                    0 ,                    0 ,                    0
           3 ,                18018 ,                17840 ,                29677 ,                    0 ,                    0 ,                    0
           4 ,                18137 ,                17960 ,                29438 ,                    0 ,                    0 ,                    0
           5 ,                18296 ,                18118 ,                29121 ,                    0 ,                    0 ,                    0
           6 ,                18390 ,                18212 ,                28933 ,                    0 ,                    0 ,                    0
           7 ,                18472 ,                18295 ,                28768 ,                    0 ,                    0 ,                    0
           8 ,                18533 ,                18356 ,                28646 ,                    0 ,                    0 ,                    0
           9 ,                18524 ,                18346 ,                28664 ,                    0 ,                    0 ,                    0
          10 ,                18574 ,                18396 ,                28564 ,                    0 ,                    0 ,                    0
          11 ,                18640 ,                18462 ,                28433 ,                    0 ,                    0 ,                    0
          12 ,                18654 ,                18476 ,                28405 ,                    0 ,                    0 ,                    0
          13 ,                18670 ,                18492 ,                28373 ,                    0 ,                    0 ,                    0
          14 ,                18731 ,                18554 ,                28250 ,                    0 ,                    0 ,                    0
          15 ,                18720 ,                18543 ,                28272 ,                    0 ,                    0 ,                    0
          16 ,                18728 ,                18550 ,                28256 ,                    0 ,                    0 ,                    0
          17 ,                18751 ,                18573 ,                28210 ,                    0 ,                    0 ,                    0
          18 ,                18800 ,                18622 ,                28112 ,                    0 ,                    0 ,                    0
          19 ,                18827 ,                18649 ,                28059 ,                    0 ,                    0 ,                    0
          20 ,                18785 ,                18608 ,                28142 ,                    0 ,                    0 ,                    0
          21 ,                18772 ,                18594 ,                28168 ,                    0 ,                    0 ,                    0
          22 ,                18766 ,                18589 ,                28180 ,                    0 ,                    0 ,                    0
          23 ,                18804 ,                18626 ,                28105 ,                    0 ,                    0 ,                    0
          24 ,                18836 ,                18658 ,                28041 ,                    0 ,                    0 ,                    0
          25 ,                18836 ,                18658 ,                28040 ,                    0 ,                    0 ,                    0
          26 ,                18779 ,                18601 ,                28155 ,                    0 ,                    0 ,                    0
          27 ,                18804 ,                18626 ,                28105 ,                    0 ,                    0 ,                    0
          28 ,                18811 ,                18634 ,                28090 ,                    0 ,                    0 ,                    0
          29 ,                18842 ,                18665 ,                28028 ,                    0 ,                    0 ,                    0
          30 ,                18820 ,                18643 ,                28072 ,                    0 ,                    0 ,                    0
          31 ,                18818 ,                18641 ,                28076 ,                    0 ,                    0 ,                    0
          32 ,                18847 ,                18670 ,                28018 ,                    0 ,                    0 ,                    0
          33 ,                18849 ,                18671 ,                28014 ,                    0 ,                    0 ,                    0
          34 ,                18857 ,                18680 ,                27998 ,                    0 ,                    0 ,                    0
          35 ,                18909 ,                18732 ,                27894 ,                    0 ,                    0 ,                    0
          36 ,                18915 ,                18737 ,                27883 ,                    0 ,                    0 ,                    0
          37 ,                18902 ,                18724 ,                27909 ,                    0 ,                    0 ,                    0
          38 ,                18910 ,                18732 ,                27893 ,                    0 ,                    0 ,                    0
          39 ,                18902 ,                18724 ,                27909 ,                    0 ,                    0 ,                    0
          40 ,                18936 ,                18759 ,                27840 ,                    0 ,                    0 ,                    0
          41 ,                18902 ,                18724 ,                27909 ,                    0 ,                    0 ,                    0
          42 ,                18919 ,                18741 ,                27875 ,                    0 ,                    0 ,                    0
          43 ,                18945 ,                18767 ,                27823 ,                    0 ,                    0 ,                    0
          44 ,                18894 ,                18717 ,                27924 ,                    0 ,                    0 ,                    0
          45 ,                18878 ,                18700 ,                27956 ,                    0 ,                    0 ,                    0
          46 ,                18922 ,                18745 ,                27868 ,                    0 ,                    0 ,                    0
          47 ,                18957 ,                18779 ,                27798 ,                    0 ,                    0 ,                    0
          48 ,                18959 ,                18781 ,                27794 ,                    0 ,                    0 ,                    0
          49 ,                18955 ,                18777 ,                27803 ,                    0 ,                    0 ,                    0
          50 ,                18973 ,                18796 ,                27766 ,                    0 ,                    0 ,                    0
          51 ,                18957 ,                18779 ,                27799 ,                    0 ,                    0 ,                    0
          52 ,                18971 ,                18793 ,                27771 ,                    0 ,                    0 ,                    0
          53 ,                18931 ,                18754 ,                27850 ,                    0 ,                    0 ,                    0
          54 ,                18910 ,                18732 ,                27893 ,                    0 ,                    0 ,                    0
          55 ,                18924 ,                18747 ,                27864 ,                    0 ,                    0 ,                    0
          56 ,                18907 ,                18729 ,                27899 ,                    0 ,                    0 ,                    0
          57 ,                18896 ,                18719 ,                27920 ,                    0 ,                    0 ,                    0
          58 ,                18929 ,                18751 ,                27855 ,                    0 ,                    0 ,                    0
          59 ,                18959 ,                18782 ,                27794 ,                    0 ,                    0 ,                    0
          60 ,                18962 ,                18785 ,                27788 ,                    0 ,                    0 ,                    0
          61 ,                18991 ,                18813 ,                27730 ,                    0 ,                    0 ,                    0
          62 ,                18990 ,                18812 ,                27733 ,                    0 ,                    0 ,                    0
          63 ,                18966 ,                18788 ,                27781 ,                    0 ,                    0 ,                    0
