 Tiempo,AverMagnetization,AverMagnetization^2,Suceptibility,Cumulant
           1 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
           2 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
           3 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
           4 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
           5 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
           6 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
           7 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
           8 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
           9 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          10 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          11 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          12 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          13 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          14 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          15 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          16 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          17 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          18 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          19 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          20 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          21 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          22 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          23 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          24 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          25 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          26 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          27 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          28 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          29 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          30 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          31 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          32 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          33 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          34 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          35 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          36 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          37 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          38 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          39 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          40 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          41 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          42 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          43 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          44 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          45 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          46 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          47 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          48 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          49 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          50 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          51 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          52 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          53 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          54 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          55 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          56 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          57 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          58 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          59 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          60 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          61 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          62 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          63 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          64 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
          65 ,   2.7099609374999999E-003 ,   4.6032667160034177E-005 ,   9.6721947193145747E-005 ,  0.33634352109583165     
