 tiempo ave_magnetization ave_absmagnetization ave_energy
           1 -0.439999998       26.5200005      -199.600006    
           2  -6.44000006       43.0800018      -368.559998    
           3  -9.92000008       59.1199989      -457.040009    
           4  -13.2399998       67.8000031      -505.279999    
           5  -7.32000017       76.2799988      -537.599976    
           6  -10.4399996       89.2399979      -565.760010    
           7  -10.8800001       98.9599991      -585.440002    
           8  -12.1199999       104.760002      -600.640015    
           9  -16.6800003       111.800003      -613.280029    
          10  -17.6399994       119.879997      -622.799988    
          11  -18.0000000       125.279999      -631.119995    
          12  -21.1599998       133.240005      -638.479980    
          13  -21.8799992       137.960007      -645.919983    
          14  -23.6399994       145.399994      -651.119995    
          15  -24.6399994       149.600006      -656.159973    
          16  -23.7600002       152.000000      -661.359985    
          17  -24.1200008       155.960007      -667.119995    
          18  -23.4799995       161.160004      -667.919983    
          19  -23.4400005       166.080002      -670.799988    
          20  -23.3600006       171.119995      -674.080017    
          21  -21.9599991       175.000000      -678.799988    
          22  -21.7199993       179.479996      -679.599976    
          23  -25.4799995       185.960007      -682.719971    
          24  -25.5599995       191.000000      -686.880005    
          25  -25.3999996       195.240005      -689.200012    
          26  -24.9599991       199.520004      -690.159973    
          27  -29.1599998       205.559998      -693.679993    
          28  -31.3199997       213.639999      -699.119995    
          29  -32.1599998       216.479996      -699.679993    
          30  -32.8800011       221.520004      -702.960022    
          31  -32.4000015       227.199997      -704.960022    
          32  -33.1599998       231.160004      -708.320007    
          33  -31.7999992       235.080002      -710.559998    
          34  -31.4400005       237.520004      -710.880005    
          35  -34.1599998       243.600006      -715.440002    
          36  -34.2000008       244.759995      -715.599976    
          37  -35.2799988       247.039993      -718.000000    
          38  -35.7200012       250.520004      -717.760010    
          39  -34.2400017       253.039993      -720.000000    
          40  -34.6399994       255.839996      -722.239990    
          41  -36.2000008       260.440002      -723.840027    
          42  -35.4799995       260.519989      -724.159973    
          43  -34.4399986       264.040009      -726.320007    
          44  -36.6800003       269.239990      -730.239990    
          45  -36.7999992       270.959991      -731.520020    
          46  -37.4799995       273.320007      -731.520020    
          47  -37.6399994       276.920013      -734.880005    
          48  -37.8800011       280.839996      -735.679993    
