 tiempo ave_magnetization ave_absmagnetization ave_energy
           1  -5.19999981       27.5200005      -147.919998    
           2  -5.00000000       37.0000000      -258.720001    
           3  -3.24000001       33.7999992      -300.799988    
           4  -5.92000008       34.8800011      -314.720001    
           5  -4.48000002       40.0000000      -320.320007    
           6   1.32000005       42.2000008      -333.679993    
           7   6.19999981       42.4399986      -338.959991    
           8   2.35999990       46.4399986      -351.600006    
           9   7.44000006       52.1599998      -349.679993    
          10   11.7600002       51.5200005      -350.480011    
          11   7.03999996       56.0800018      -356.959991    
          12   10.3599997       60.0400009      -349.600006    
          13   7.00000000       56.7599983      -352.880005    
          14   7.19999981       55.8400002      -360.559998    
          15   4.03999996       59.6399994      -360.959991    
          16   6.40000010       61.9199982      -361.760010    
          17   7.15999985       57.2400017      -355.279999    
          18   1.15999997       60.5200005      -359.760010    
          19   5.32000017       55.0800018      -353.359985    
          20  0.360000014       50.8400002      -347.839996    
          21  -7.55999994       53.3199997      -356.000000    
          22  -8.31999969       50.4000015      -355.279999    
          23  -12.3199997       57.2799988      -350.000000    
          24  -10.1199999       55.4799995      -346.880005    
          25  -7.48000002       58.5200005      -354.000000    
          26  -4.03999996       64.8399963      -360.720001    
          27  -5.23999977       69.0800018      -356.959991    
          28  -1.15999997       68.2799988      -358.320007    
          29  -2.24000001       70.1600037      -357.359985    
          30   3.16000009       71.0800018      -351.920013    
          31   6.15999985       69.4400024      -358.239990    
          32   5.48000002       75.5599976      -363.679993    
          33   7.44000006       75.5199966      -358.320007    
          34   6.03999996       75.1600037      -367.200012    
          35   6.84000015       73.2399979      -366.559998    
          36   4.76000023       67.7200012      -356.320007    
          37  -1.72000003       67.0800018      -354.000000    
          38   1.55999994       65.3199997      -358.480011    
          39   4.19999981       64.5999985      -364.160004    
          40  0.319999993       67.7600021      -363.920013    
          41   1.91999996       61.5999985      -363.920013    
          42   1.24000001       62.6800003      -362.000000    
          43   5.59999990       64.5599976      -361.279999    
          44   2.88000011       65.5999985      -363.920013    
          45  0.519999981       67.0800018      -362.720001    
          46   2.16000009       65.1200027      -362.239990    
          47   2.68000007       66.6800003      -362.239990    
          48   2.55999994       66.1600037      -359.600006    
          49   1.39999998       68.6800003      -359.920013    
          50  0.600000024       68.5199966      -368.000000    
          51  -7.00000000       73.4000015      -368.079987    
          52  -10.0000000       80.7200012      -372.239990    
          53  -6.51999998       80.4400024      -370.079987    
          54  -7.19999981       81.7600021      -370.959991    
          55  -9.84000015       82.4000015      -371.359985    
          56  -5.88000011       81.4800034      -366.399994    
          57  -5.44000006       84.4000015      -369.920013    
          58  -9.92000008       84.4000015      -368.959991    
          59  -13.8000002       80.0400009      -364.320007    
          60  -11.1199999       78.9599991      -362.880005    
          61  -13.5200005       78.2399979      -361.679993    
          62  -6.84000015       84.8399963      -362.959991    
          63  -2.92000008       91.4000015      -371.200012    
          64 -0.680000007       95.6399994      -372.000000    
          65   2.48000002       89.7600021      -361.920013    
          66   3.00000000       84.3600006      -364.000000    
          67   4.36000013       80.8399963      -359.839996    
          68   2.96000004       82.6399994      -354.559998    
          69  -3.51999998       87.3600006      -360.880005    
          70  0.319999993       82.2399979      -368.320007    
          71  -2.35999990       88.8399963      -365.040009    
          72  -3.31999993       89.4000015      -356.880005    
          73  -2.48000002       88.4000015      -364.160004    
          74  0.319999993       84.8799973      -361.359985    
          75 -0.119999997       80.1200027      -364.000000    
          76  -1.03999996       74.8799973      -362.480011    
          77   4.80000019       70.3199997      -360.239990    
          78  -1.08000004       69.7200012      -368.480011    
          79  -2.64000010       71.0400009      -367.440002    
          80  -9.27999973       77.8399963      -364.720001    
          81  -9.60000038       74.4000015      -363.679993    
          82  -11.6000004       69.2799988      -371.519989    
          83  -10.7600002       67.9599991      -367.279999    
          84  -13.9600000       71.8000031      -360.640015    
          85  -12.4399996       65.4800034      -353.440002    
          86  -14.3599997       64.1999969      -361.600006    
          87  -14.2799997       63.6399994      -355.119995    
          88  -15.6400003       64.2799988      -358.399994    
          89  -15.2399998       69.3199997      -364.640015    
          90  -16.4400005       65.4000015      -366.720001    
