 Alfa,posDsty,Temperatura,Energia,Cv,magnetANTI,SusceptAnti,cumulantAnti,magnetFerro,SusceptFerro,cumulantFerro
 -0.699999988     ,  0.500000000     ,   1.04999999E-02 ,  -2.0000000000000000      ,   0.00000000     ,   0.0000000000000000      ,   0.00000000     ,              NaN ,   1.0000000000000000      ,   0.00000000     ,  0.666666687    
 -0.699999988     ,  0.500000000     ,   2.04999987E-02 ,  -2.0000000000000000      ,   0.00000000     ,   0.0000000000000000      ,   0.00000000     ,              NaN ,   1.0000000000000000      ,   0.00000000     ,  0.666666687    
 -0.699999988     ,  0.500000000     ,   3.04999985E-02 ,  -2.0000000000000000      ,   0.00000000     ,   0.0000000000000000      ,   0.00000000     ,              NaN ,   1.0000000000000000      ,   0.00000000     ,  0.666666687    
 -0.699999988     ,  0.500000000     ,   4.05000001E-02 ,  -2.0000000000000000      ,   0.00000000     ,   0.0000000000000000      ,   0.00000000     ,              NaN ,   1.0000000000000000      ,   0.00000000     ,  0.666666687    
 -0.699999988     ,  0.500000000     ,   5.04999980E-02 ,  -2.0000000000000000      ,   0.00000000     ,   0.0000000000000000      ,   0.00000000     ,              NaN ,   1.0000000000000000      ,   0.00000000     ,  0.666666687    
 -0.699999988     ,  0.500000000     ,   6.04999997E-02 ,  -2.0000000000000000      ,   0.00000000     ,   0.0000000000000000      ,   0.00000000     ,              NaN ,   1.0000000000000000      ,   0.00000000     ,  0.666666687    
 -0.699999988     ,  0.500000000     ,   7.05000013E-02 ,  -2.0000000000000000      ,   0.00000000     ,   0.0000000000000000      ,   0.00000000     ,              NaN ,   1.0000000000000000      ,   0.00000000     ,  0.666666687    
 -0.699999988     ,  0.500000000     ,   8.04999992E-02 ,  -1.9999997000000178      ,   3.47069751E-08 ,   4.9999999999998939E-007 ,   7.76086928E-09 ,  -832.333313     ,  0.99999949998855586      ,   7.76122722E-09 ,  0.666666687    
 -0.699999988     ,  0.500000000     ,   9.04999971E-02 ,  -1.9999975250001465      ,   2.25894055E-07 ,   4.1249999999999122E-006 ,   5.67871261E-08 ,  -100.010094     ,  0.99999587490558628      ,   5.67897338E-08 ,  0.666666687    
 -0.699999988     ,  0.500000000     ,  0.100499995     ,  -1.9999918250004849      ,   6.00423959E-07 ,   1.3624999999999709E-005 ,   1.67618026E-07 ,  -29.5810413     ,  0.99998637468814855      ,   1.67625714E-07 ,  0.666666627    
