 Alfa,posDsty,Temperatura,Energia,Cv,magnetANTI,SusceptAnti,cumulantAnti,magnetFerro,SusceptFerro,cumulantFerro
  -1.00000000     ,  0.500000000     ,   1.99999995E-05 ,  -2.0000000000000000      ,   0.00000000     ,   1.9922999999999275E-002 ,   11.1660786     ,   3.05814613E-02 ,   1.9785999965993686E-002 ,   11.1631479     ,   1.26034180E-02
  -1.00000000     ,  0.500000000     ,   2.99999992E-05 ,  -2.0000000000000000      ,   0.00000000     ,   1.9609999999999256E-002 ,   7.45968056     ,  -3.77258612E-03 ,   1.9795499962707980E-002 ,   7.53477335     ,  -5.63968858E-03
  -1.00000000     ,  0.500000000     ,   3.99999990E-05 ,  -2.0000000000000000      ,   0.00000000     ,   1.9727499999999256E-002 ,   5.70439339     ,  -2.04029121E-02 ,   1.9742249964317306E-002 ,   5.61482334     ,  -8.10525753E-03
  -1.00000000     ,  0.500000000     ,   4.99999987E-05 ,  -2.0000000000000000      ,   0.00000000     ,   2.0050499999999326E-002 ,   4.66417408     ,   5.02205978E-04 ,   1.9989749965677039E-002 ,   4.52803564     ,  -4.32865787E-03
  -1.00000000     ,  0.500000000     ,   5.99999985E-05 ,  -2.0000000000000000      ,   0.00000000     ,   2.0020499999999105E-002 ,   3.79091001     ,   6.62538805E-04 ,   2.0232499962206930E-002 ,   3.87284946     ,   1.87289435E-02
  -1.00000000     ,  0.500000000     ,   6.99999946E-05 ,  -2.0000000000000000      ,   0.00000000     ,   1.9811749999999226E-002 ,   3.25171733     ,  -1.69438440E-02 ,   1.9844499966315925E-002 ,   3.25185132     ,  -1.19533238E-03
  -1.00000000     ,  0.500000000     ,   7.99999980E-05 ,  -2.0000000000000000      ,   0.00000000     ,   1.9863749999999219E-002 ,   2.90824461     ,  -8.73038825E-03 ,   1.9781999953789636E-002 ,   2.83514023     ,  -1.88745651E-02
  -1.00000000     ,  0.500000000     ,   9.00000014E-05 ,  -2.0000000000000000      ,   0.00000000     ,   2.0153499999999179E-002 ,   2.57941890     ,   8.63206666E-03 ,   2.0026749976584688E-002 ,   2.53683233     ,  -7.43735023E-03
  -1.00000000     ,  0.500000000     ,   1.00000005E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9778999999999214E-002 ,   2.23991156     ,   1.34867020E-02 ,   2.0197749952133744E-002 ,   2.32941532     ,   1.77603983E-03
  -1.00000000     ,  0.500000000     ,   1.09999994E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9905749999999178E-002 ,   1.99912953     ,   3.97391915E-02 ,   1.9673499973071738E-002 ,   2.05200815     ,  -1.40190925E-02
  -1.00000000     ,  0.500000000     ,   1.19999997E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9738999999999313E-002 ,   1.84746373     ,   3.58823780E-03 ,   1.9960249960981308E-002 ,   1.90329432     ,  -1.02170641E-02
  -1.00000000     ,  0.500000000     ,   1.30000000E-04 ,  -2.0000000000000000      ,   0.00000000     ,   2.0122749999999166E-002 ,   1.76922548     ,  -8.88720606E-05 ,   1.9868499959912151E-002 ,   1.75173235     ,  -8.19873344E-03
  -1.00000000     ,  0.500000000     ,   1.40000004E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9950499999999240E-002 ,   1.59382176     ,   1.71103068E-02 ,   1.9993499961309134E-002 ,   1.62732112     ,   2.00018100E-03
  -1.00000000     ,  0.500000000     ,   1.49999993E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9579999999999244E-002 ,   1.46517408     ,  -1.62000884E-03 ,   1.9533749959990382E-002 ,   1.48242998     ,  -4.50562686E-03
  -1.00000000     ,  0.500000000     ,   1.59999996E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9888749999999306E-002 ,   1.42767656     ,  -3.42212780E-03 ,   1.9783749969815835E-002 ,   1.40534449     ,   7.94714689E-03
  -1.00000000     ,  0.500000000     ,   1.69999999E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9608749999999342E-002 ,   1.30974293     ,  -1.95421372E-02 ,   1.9909999954281374E-002 ,   1.34561419     ,  -6.80970075E-03
  -1.00000000     ,  0.500000000     ,   1.80000003E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9834999999999048E-002 ,   1.27759874     ,  -6.10175729E-03 ,   2.0321749952901154E-002 ,   1.29367840     ,  -3.30405752E-03
  -1.00000000     ,  0.500000000     ,   1.90000006E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9779499999999277E-002 ,   1.18242168     ,  -2.21647434E-02 ,   1.9997249953402206E-002 ,   1.21191108     ,   7.01977918E-03
  -1.00000000     ,  0.500000000     ,   1.99999995E-04 ,  -2.0000000000000000      ,   0.00000000     ,   2.0271749999999228E-002 ,   1.14461517     ,   2.26172470E-02 ,   1.9858249976392836E-002 ,   1.12298393     ,   5.84774837E-03
  -1.00000000     ,  0.500000000     ,   2.09999998E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9822749999999174E-002 ,   1.07370460     ,   7.82934204E-03 ,   1.9794249975821004E-002 ,   1.08103359     ,   2.02250178E-03
  -1.00000000     ,  0.500000000     ,   2.20000002E-04 ,  -2.0000000000000000      ,   0.00000000     ,   2.0051749999999171E-002 ,   1.02567255     ,   2.39926092E-02 ,   1.9853999971877784E-002 ,  0.987459958     ,   3.78470421E-02
  -1.00000000     ,  0.500000000     ,   2.29999991E-04 ,  -2.0000000000000000      ,   0.00000000     ,   2.0027749999999341E-002 ,  0.959657013     ,   3.20646986E-02 ,   1.9767999965650960E-002 ,  0.964722514     ,   3.01005319E-02
  -1.00000000     ,  0.500000000     ,   2.39999994E-04 ,  -2.0000000000000000      ,   0.00000000     ,   1.9862249999999183E-002 ,  0.943621516     ,   6.89005712E-04 ,   2.0176499962015076E-002 ,  0.964589000     ,   1.29326098E-02
  -1.00000000     ,  0.500000000     ,   2.49999983E-04 ,  -2.0000000000000000      ,   0.00000000     ,   2.0276249999999198E-002 ,  0.944187284     ,   2.29740571E-02 ,   1.9924749956978485E-002 ,  0.913334906     ,  -5.79685625E-03
  -1.00000000     ,  0.500000000     ,   2.59999972E-04 ,  -2.0000000000000000      ,   0.00000000     ,   2.0217249999999139E-002 ,  0.929816186     ,  -3.90497521E-02 ,   1.9954249963629992E-002 ,  0.875157893     ,   3.12454603E-03
