 Alfa,posDsty,Temperatura,Energia,Cv,magnetANTI,SusceptAnti,cumulantAnti,magnetFerro,SusceptFerro,cumulantFerro
-3,0.5,0.600000024,-5.999986675,1.85096951E-07,0.9999966625,0.000000007,0.666666687,3.31249992595986E-06,6.88275348E-09,-124.786163
-3,0.5,0.699999988,-5.9999121,8.99537326E-07,0.999977925,0.00000004,0.666666627,0.000021525,0.000000038,-19.0215778
-3,0.5,0.800000012,-5.9996248,2.97788915E-06,0.9999054875,1.52838211E-07,0.666666508,8.80624980316497E-05,1.33060141E-07,-4.54895401
-3,0.5,0.899999976,-5.998854625,7.22429513E-06,0.9997102,0.000000424,0.66666615,0.000248375,3.14719301E-07,-1.50552428
-3,0.5,1,-5.9971509,0.0000146,0.99927325,9.82241204E-07,0.666665375,0.000532925,5.5808465E-07,-0.591862917
-3,0.5,1.10000002,-5.993963275,2.6081234E-05,0.99844455,1.99771148E-06,0.666663706,0.000902975,8.38220274E-07,-0.309732169
-3,0.5,1.20000005,-5.98861425,4.18222262E-05,0.99703,3.67078792E-06,0.666660786,0.0013289,0.000001205,-0.166262895
-3,0.5,1.29999995,-5.98028035,6.31169241E-05,0.9947787125,6.32587944E-06,0.6666556,0.0017653875,1.67991641E-06,-0.101959229
-3,0.5,1.4000001,-5.9680645,8.98191865E-05,0.9913794375,0.000010459,0.666646838,0.0022639625,2.36222445E-06,-0.0679665506
-3,0.5,1.5,-5.951065275,0.0001241687,0.9864808125,1.70343283E-05,0.666631758,0.0027637125,3.16183514E-06,-0.0435142517
-3,0.5,1.60000002,-5.928123025,0.0001633444,0.9795774,2.68822096E-05,0.666607141,0.0032948,4.15026125E-06,-0.0333053879
-3,0.5,1.70000005,-5.898173725,0.0002143665,0.9700640875,4.37218732E-05,0.666561961,0.0038369875,5.16644013E-06,-0.0220300835
-3,0.5,1.80000007,-5.859028425,0.0002778989,0.9567004625,7.25378486E-05,0.666477919,0.0044530125,6.48972627E-06,-0.0206152759
-3,0.5,1.89999998,-5.8096104,0.0003504947,0.9384170875,0.0001232982,0.666316569,0.0050545375,7.86186411E-06,-0.0131742256
-3,0.5,2,-5.7454753,0.0004575541,0.9111505,0.0002443333,0.665899456,0.005706825,9.45723059E-06,0.0066688708
-3,0.5,2.0999999,-5.662075925,0.0005979519,0.8684828375,0.0006138838,0.664525807,0.0064163375,1.14563718E-05,-0.0191802196
-3,0.5,2.20000005,-5.54539075,0.0008841457,0.7839814375,0.0028037748,0.6561777,0.0072068125,0.000013719,-0.0113051552
-3,0.5,2.30000019,-5.366120525,0.0011863167,0.5238062375,0.0173975732,0.552942514,0.0081781875,1.6867858E-05,-0.0061928239
-3,0.5,2.4000001,-5.20751165,0.0007663792,0.2538666875,0.011813621,0.246694699,0.0089730125,1.9253137E-05,-0.0059458632
-3,0.5,2.5,-5.105843475,0.0005333436,0.1589117375,0.0053830384,0.0972144753,0.0095411625,0.000020929,-0.0045709796
-3,0.5,2.60000014,-5.02806365,0.000441326,0.1204131625,0.0029605015,0.0700430572,0.0099518375,2.18697496E-05,0.0004184373
-3,0.5,2.70000005,-4.963839275,0.000373544,0.0978238875,0.0019946545,0.0250211414,0.0102994625,2.2485252E-05,0.0020923279
