 Temperature,Magnetization,Magnetization^2,Suceptibility,Cumulant,Average
   5.00000000     ,   1.5391845703124999E-004 ,   1.7160295695066452E-004 ,   3.4315853723195984E-005 ,  -3.8886704389581972E-002 ,           1
   4.91632652     ,   6.6044921875000001E-004 ,   1.7954380810260772E-004 ,   3.6431188298518709E-005 ,  -2.0284327899475763E-003 ,           1
   4.83265305     ,   3.6540527343749998E-004 ,   1.6710054874420166E-004 ,   3.4549764961417754E-005 ,  -7.2693369224853255E-002 ,           1
   4.74897957     ,   6.3937988281250000E-004 ,   1.8533335030078887E-004 ,   3.8939849139723286E-005 ,   3.6272912754526820E-002 ,           1
   4.66530609     ,   3.3350830078125000E-004 ,   1.8357022553682327E-004 ,   3.9324108121863322E-005 ,  -2.2501941371792400E-002 ,           1
   4.58163261     ,   1.2145019531249999E-003 ,   1.9718646705150605E-004 ,   4.2716530797034278E-005 ,   1.1999868534955938E-002 ,           1
   4.49795914     ,   5.5463867187499996E-004 ,   2.0113418102264403E-004 ,   4.4648371688634918E-005 ,  -9.2436219172717049E-002 ,           1
   4.41428566     ,   9.9487304687500004E-004 ,   2.0968151092529296E-004 ,   4.7276444769850933E-005 ,   2.1576301759348659E-002 ,           1
   4.33061218     ,   4.6134033203125001E-004 ,   2.3097695559263229E-004 ,   5.3286720421284265E-005 ,  -8.2524326263291314E-003 ,           1
   4.24693871     ,   2.3505004882812498E-003 ,   2.6161333173513410E-004 ,   6.0299546865786535E-005 ,   6.7859046964091840E-002 ,           1
   4.16326523     ,   3.9941406249999998E-004 ,   2.3170284628868103E-004 ,   5.5615796312130732E-005 ,   5.3609883253470381E-002 ,           1
   4.07959175     ,   2.9606933593749997E-004 ,   2.4864578545093539E-004 ,   6.0927206436998932E-005 ,   2.9899052364956491E-002 ,           1
   3.99591827     ,   7.2928466796875005E-004 ,   2.6175964921712876E-004 ,   6.5373659607700707E-005 ,   1.2318587033136041E-002 ,           1
   3.91224480     ,   6.2861328125000005E-004 ,   2.5995490849018099E-004 ,   6.6345477968460278E-005 ,  -7.5993002128889042E-003 ,           1
   3.82857132     ,   4.1660156249999998E-004 ,   3.3501934111118318E-004 ,   8.7459726617988411E-005 ,   2.5243725920140125E-002 ,           1
   3.74489784     ,   1.1676513671875000E-003 ,   3.1746486425399779E-004 ,   8.4408562201962036E-005 ,  -3.9815085160244346E-002 ,           1
   3.66122437     ,   1.6121704101562499E-003 ,   3.0703053921461108E-004 ,   8.3150177225216465E-005 ,   7.3267039526274669E-002 ,           1
   3.57755113     ,   5.4022216796875005E-004 ,   3.3432198315858840E-004 ,   9.3368376065916124E-005 ,   8.2918081454072312E-002 ,           1
   3.49387765     ,   5.1597900390624996E-004 ,   3.3675606101751327E-004 ,   9.6308418146409547E-005 ,  -7.3429730058236942E-002 ,           1
   3.41020393     ,   7.4506835937500002E-004 ,   4.0164751112461088E-004 ,   1.1761536683654449E-004 ,   8.1413836019589958E-002 ,           1
   3.32653046     ,   1.3780883789062501E-003 ,   4.5591914802789690E-004 ,   1.3648455764578125E-004 , -0.12783371900750007      ,           1
   3.24285722     ,   2.6957641601562500E-003 ,   5.0118000358343124E-004 ,   1.5230792022121405E-004 ,  -1.4268659593506872E-002 ,           1
   3.15918374     ,   2.5666503906250000E-003 ,   5.4095059633255007E-004 ,   1.6914588089399503E-004 ,  -2.0381217385931460E-002 ,           1
   3.07551026     ,   2.1283447265625002E-003 ,   6.6289010345935823E-004 ,   2.1406537364068156E-004 ,  -4.6126050030578458E-002 ,           1
   2.99183679     ,   2.0988037109375001E-003 ,   8.1034100055694578E-004 ,   2.6937832984375086E-004 ,  0.14103702473512614      ,           1
