Temperatura MagneticField Magnetization Magnetization2
0.8 0.002475 0.003103202 7.05877e-05
0.8 0.00495 0.006205223 9.937604e-05
0.8 0.007425 0.00926942 0.0001467372
0.8 0.0099 0.01236262 0.0002134476
0.8 0.012375 0.0154859 0.000300478
0.8 0.01485 0.01861214 0.0004074333
0.8 0.017325 0.02161205 0.0005279306
0.8 0.0198 0.02474435 0.000673349
0.8 0.022275 0.02781236 0.0008346294
0.8 0.02475 0.03089361 0.001015214
0.8 0.027225 0.03402747 0.00121875
0.8 0.0297 0.03711919 0.001438905
0.8 0.032175 0.0402102 0.001677904
0.8 0.03465 0.04325476 0.00193123
0.8 0.037125 0.04639588 0.002213141
0.8 0.0396 0.04947579 0.002509006
0.8 0.042075 0.05254061 0.002821369
0.8 0.04455 0.05559584 0.003151532
0.8 0.047025 0.05873606 0.003511095
0.8 0.0495 0.06180461 0.003880964
0.8 0.051975 0.06488138 0.004270086
0.8 0.05445 0.06798938 0.004683659
0.8 0.056925 0.07110614 0.005116866
0.8 0.0594 0.07408287 0.005548811
0.8 0.061875 0.07719524 0.006020025
0.8 0.06435 0.08025106 0.006500774
0.8 0.066825 0.08336689 0.007010625
0.8 0.0693 0.08642715 0.007530042
0.8 0.071775 0.0895098 0.008072608
0.8 0.07425 0.0925583 0.008627412
0.8 0.076725 0.09564473 0.009208227
0.8 0.0792 0.09868476 0.009799264
0.8 0.081675 0.101735 0.01041064
0.8 0.08415 0.1047413 0.01103099
0.8 0.086625 0.1078666 0.0116955
0.8 0.0891 0.1108993 0.01235919
0.8 0.091575 0.1140062 0.01305762
0.8 0.09405 0.1170394 0.01375844
0.8 0.096525 0.1201091 0.01448663
0.8 0.099 0.1230962 0.01521289
0.8 0.102475 0.1273246 0.0162713
0.8 0.10495 0.1304457 0.01707604
0.8 0.107425 0.1335089 0.01788438
0.8 0.1099 0.1365289 0.01870027
0.8 0.112375 0.1395353 0.01953
0.8 0.11485 0.1425699 0.02038551
0.8 0.117325 0.1456198 0.02126475
0.8 0.1198 0.148641 0.02215405
0.8 0.122275 0.1516449 0.02305592
0.8 0.12475 0.1547059 0.02399353
0.8 0.127225 0.157718 0.02493447
0.8 0.1297 0.160719 0.02588975
0.8 0.132175 0.1637415 0.02687046
0.8 0.13465 0.1667921 0.02787819
0.8 0.137125 0.1697406 0.02887147
0.8 0.1396 0.1727459 0.02990052
0.8 0.142075 0.175743 0.0309447
0.8 0.14455 0.1787481 0.03201046
0.8 0.147025 0.181727 0.03308397
0.8 0.1495 0.1847414 0.03418814
0.8 0.151975 0.1877474 0.03530811
0.8 0.15445 0.1906505 0.03640653
0.8 0.156925 0.1937053 0.03758057
0.8 0.1594 0.1966396 0.03872602
0.8 0.161875 0.1996742 0.0399282
0.8 0.16435 0.2025868 0.04109985
0.8 0.166825 0.2055352 0.04230318
0.8 0.1693 0.20852 0.04353824
0.8 0.171775 0.2114603 0.04477378
0.8 0.17425 0.2143925 0.04602243
0.8 0.176725 0.217433 0.04733496
0.8 0.1792 0.220353 0.04861353
0.8 0.181675 0.2232825 0.04991291
0.8 0.18415 0.2262079 0.05122791
0.8 0.186625 0.2291278 0.0525572
0.8 0.1891 0.2320361 0.05389858
0.8 0.191575 0.2349949 0.05528009
0.8 0.19405 0.2379218 0.05666427
0.8 0.196525 0.2408267 0.05805502
0.8 0.199 0.2437084 0.05945113
1 0.002475 0.002420614 6.701665e-05
1 0.00495 0.004940327 8.612442e-05
1 0.007425 0.007393212 0.000115783
1 0.0099 0.009899525 0.0001592373
1 0.012375 0.01239737 0.0002151528
1 0.01485 0.01485925 0.0002819706
1 0.017325 0.01739795 0.0003639852
1 0.0198 0.01981695 0.0004536281
1 0.022275 0.02222881 0.0005552367
1 0.02475 0.0247144 0.0006718944
1 0.027225 0.02722792 0.0008025729
1 0.0297 0.02969944 0.0009427502
1 0.032175 0.03212719 0.001092663
1 0.03465 0.03463598 0.001260856
1 0.037125 0.03715933 0.001441764
1 0.0396 0.03956934 0.001626424
1 0.042075 0.04205698 0.001829971
1 0.04455 0.04450752 0.00204214
1 0.047025 0.04697414 0.002267558
1 0.0495 0.0494994 0.002511072
1 0.051975 0.05192605 0.002757256
1 0.05445 0.05440697 0.003020513
1 0.056925 0.05687517 0.003295726
1 0.0594 0.05934624 0.003582214
1 0.061875 0.06183617 0.003884646
1 0.06435 0.06424718 0.004188701
1 0.066825 0.0667118 0.004511356
1 0.0693 0.06922503 0.004852916
1 0.071775 0.07165884 0.005195639
1 0.07425 0.07414239 0.005557884
1 0.076725 0.07660824 0.005929196
1 0.0792 0.07898087 0.006298498
1 0.081675 0.08148367 0.00670031
1 0.08415 0.08399231 0.007115505
1 0.086625 0.08640489 0.007526846
1 0.0891 0.08889278 0.00796238
1 0.091575 0.09134289 0.008403851
1 0.09405 0.09376378 0.008851977
1 0.096525 0.09619812 0.009314754
1 0.099 0.09873183 0.00980911
1 0.102475 0.1021182 0.01048856
1 0.10495 0.1045673 0.01099506
1 0.107425 0.1070241 0.0115143
1 0.1099 0.1094617 0.01204198
1 0.112375 0.1119369 0.0125901
1 0.11485 0.1143345 0.01313295
1 0.117325 0.1168125 0.01370573
1 0.1198 0.1192025 0.01426937
1 0.122275 0.1216484 0.01485823
1 0.12475 0.1240928 0.01545889
1 0.127225 0.1265729 0.01608044
1 0.1297 0.1289725 0.01669376
1 0.132175 0.1313835 0.01732191
1 0.13465 0.1338525 0.01797649
1 0.137125 0.136296 0.01863723
1 0.1396 0.1387722 0.01931736
1 0.142075 0.141114 0.01997334
1 0.14455 0.1435541 0.02066726
1 0.147025 0.1460124 0.02137962
1 0.1495 0.1483932 0.02207989
1 0.151975 0.1508353 0.02281095
1 0.15445 0.1532442 0.02354321
1 0.156925 0.155634 0.02428164
1 0.1594 0.1580724 0.02504641
1 0.161875 0.1604708 0.02581017
1 0.16435 0.1628849 0.02659107
1 0.166825 0.165335 0.02739561
1 0.1693 0.1676997 0.02818192
1 0.171775 0.1701328 0.02900413
1 0.17425 0.1724851 0.02981066
1 0.176725 0.1748784 0.0306421
1 0.1792 0.1773113 0.03149792
1 0.181675 0.1797348 0.03236344
1 0.18415 0.1821062 0.0332213
1 0.186625 0.1844291 0.03407308
1 0.1891 0.1868804 0.03498346
1 0.191575 0.1891867 0.03585024
1 0.19405 0.1916754 0.03679771
1 0.196525 0.1940685 0.03772131
1 0.199 0.1963849 0.03862536
0.9 0.002475 0.002752119 6.913564e-05
0.9 0.00495 0.00552144 9.134656e-05
0.9 0.007425 0.008239602 0.0001290331
0.9 0.0099 0.01097374 0.0001818149
0.9 0.012375 0.01373517 0.0002491472
0.9 0.01485 0.01650791 0.0003332138
0.9 0.017325 0.01930041 0.000433262
0.9 0.0198 0.02197729 0.0005445198
0.9 0.022275 0.02475699 0.0006737565
0.9 0.02475 0.02748011 0.0008163286
0.9 0.027225 0.03022371 0.0009748062
0.9 0.0297 0.03297655 0.001148551
0.9 0.032175 0.03574123 0.001338632
0.9 0.03465 0.03849793 0.001542722
0.9 0.037125 0.04123613 0.001761091
0.9 0.0396 0.04401182 0.001997308
0.9 0.042075 0.0467321 0.002245547
