Size,Alfa,Temperatura,Susceptibility,SusceptMCError,AutoCorrelationTime,StdDevBlocking,EffTau,Energy,HeatCapacity,Mabs,SusceptAbs,Cumulant,aMabs,aSusceptAbs,aCumu
32,0.5,1.65,388.32,1.17737,1.98242,0.57963,0.121184,-1.6598,1.40162,0.785163,5.72824,0.652456,0.00900366,2.8825e-05,-0.0195563
32,0.5,1.645,397.483,1.19506,1.94915,0.513766,0.0924098,-1.66726,1.36024,0.793911,5.12976,0.654117,0.00887855,2.78802e-05,-0.00837681
32,0.5,1.64,405.043,1.20863,1.97008,0.571911,0.111954,-1.67338,1.33091,0.800847,4.58723,0.655364,0.00881372,2.77652e-05,-0.0216394
32,0.5,1.635,412.773,1.22249,1.78995,0.490559,0.0805118,-1.67977,1.29274,0.807789,4.09829,0.656559,0.00877532,2.7448e-05,-0.0122072
32,0.5,1.63,420.662,1.23657,1.76363,0.448062,0.0656464,-1.68637,1.24632,0.814747,3.64154,0.65772,0.00868466,2.69539e-05,-0.00294254
32,0.5,1.625,427.989,1.2495,1.6547,0.462155,0.0684027,-1.69225,1.22885,0.820964,3.2776,0.658584,0.0086214,2.68691e-05,-0.018409
32,0.5,1.62,435.69,1.26286,1.65859,0.413502,0.0536065,-1.69885,1.18567,0.827516,2.83959,0.659569,0.00858992,2.65406e-05,-0.0101961
32,0.5,1.615,442.649,1.27479,1.58591,0.38086,0.0446298,-1.70449,1.16157,0.833081,2.59914,0.660207,0.00851698,2.62242e-05,-0.0109799
32,0.5,1.61,449.286,1.2857,1.49925,0.371654,0.0417802,-1.71018,1.13159,0.838261,2.36307,0.660789,0.00841215,2.56383e-05,-0.0109979
32,0.5,1.605,455.885,1.29628,1.54579,0.367655,0.0402209,-1.71574,1.10689,0.843324,2.13727,0.66136,0.00833034,2.54364e-05,-0.0220652
32,0.5,1.6,461.948,1.30525,1.38764,0.365882,0.0392882,-1.7208,1.06963,0.847826,1.91055,0.661884,0.00830807,2.51758e-05,-0.00805556
32,0.5,1.595,468.517,1.3158,1.39441,0.309165,0.027604,-1.72648,1.04711,0.852665,1.7538,0.662286,0.00823603,2.48002e-05,-0.00808212
32,0.5,1.59,474.574,1.32479,1.30843,0.305625,0.0266104,-1.73168,1.02671,0.856963,1.61098,0.662654,0.00815989,2.46429e-05,-0.0214379
32,0.5,1.585,480.136,1.33254,1.29729,0.287014,0.023196,-1.73643,1.01002,0.860712,1.52063,0.662913,0.00812439,2.44639e-05,-0.0152487
32,0.5,1.58,486.443,1.34183,1.24196,0.268079,0.0199573,-1.74185,0.983923,0.865123,1.37894,0.663274,0.00805528,2.40872e-05,-0.016254
32,0.5,1.575,492.147,1.34959,1.24881,0.270112,0.0200288,-1.74675,0.963232,0.868908,1.276,0.663529,0.00799937,2.38217e-05,-0.0107618
32,0.5,1.57,497.52,1.3563,1.17844,0.245176,0.0163386,-1.75134,0.93856,0.872346,1.18115,0.663766,0.00792789,2.35165e-05,-0.0152449
32,0.5,1.565,503.096,1.36342,1.13935,0.252078,0.0170915,-1.75607,0.920144,0.875913,1.09189,0.663991,0.00787003,2.32501e-05,-0.0169007
32,0.5,1.56,508.388,1.36976,1.13259,0.245192,0.0160211,-1.76057,0.909467,0.879167,1.02514,0.664164,0.00781865,2.30429e-05,-0.019219
32,0.5,1.555,513.612,1.37567,1.12852,0.22244,0.0130727,-1.76483,0.887193,0.882327,0.953475,0.664355,0.00776898,2.27412e-05,-0.0131886
32,0.5,1.55,519.092,1.38218,1.0957,0.236862,0.0146835,-1.76959,0.868932,0.885656,0.890361,0.664519,0.00768674,2.22555e-05,-0.00663037
32,0.5,1.545,524.096,1.38746,1.08698,0.220529,0.0126317,-1.77391,0.859156,0.888515,0.856662,0.664621,0.00763867,2.22405e-05,-0.00992413
32,0.5,1.54,529.208,1.39268,1.0728,0.205354,0.010871,-1.77809,0.839191,0.891444,0.801877,0.664769,0.00757527,2.1881e-05,-0.0144243
32,0.5,1.535,534.214,1.39747,1.05984,0.220091,0.0124019,-1.78225,0.819256,0.894255,0.738851,0.664912,0.00749562,2.15345e-05,-0.0148386
